"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",8.73,4,14
2,75,60,67.5,"N",1.04,0,4
3,60,45,52.5,"N",10.81,4,16
4,45,30,37.5,"N",9.75,4,16.525
5,30,15,22.5,"N",7.94,3.475,13.525
6,15,0,7.5,"N",18.39,11.95,27.525
7,0,-15,-7.5,"S",4.73,1,8.52499999999999
8,-15,-30,-22.5,"S",1.49,0,4.52499999999999
9,-30,-45,-37.5,"S",0.67,0,2.52499999999999
10,-45,-60,-52.5,"S",0,0,0
11,-60,-75,-67.5,"S",0,0,0
12,-75,-90,-82.5,"S",0.34,0,1
