"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0,0,0
2,75,60,67.5,"N",1.99,0,4
3,60,45,52.5,"N",8.81,4,14.525
4,45,30,37.5,"N",20.14,11.475,33.05
5,30,15,22.5,"N",9.48,3,15
6,15,0,7.5,"N",3.71,1,7.52499999999999
7,0,-15,-7.5,"S",5.19,1,9.52499999999999
8,-15,-30,-22.5,"S",7.73,3,14.525
9,-30,-45,-37.5,"S",3.51,1,7
10,-45,-60,-52.5,"S",1.34,0,4
11,-60,-75,-67.5,"S",1.06,0,3
12,-75,-90,-82.5,"S",2.18,0,6
