"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3,0,6.52499999999999
2,75,60,67.5,"N",16.75,9,25
3,60,45,52.5,"N",73.89,59.425,91.05
4,45,30,37.5,"N",238.1,212.375,264.05
5,30,15,22.5,"N",475.85,446.475,500.05
6,15,0,7.5,"N",477.36,448.95,502.05
7,0,-15,-7.5,"S",298.95,273,324.2
8,-15,-30,-22.5,"S",233.11,209.425,259.575
9,-30,-45,-37.5,"S",133.19,109.9,151.525
10,-45,-60,-52.5,"S",37.7,27,47
11,-60,-75,-67.5,"S",7.32,3,12
12,-75,-90,-82.5,"S",1.34,0,3.52499999999999
