"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.72,0,2.52499999999999
2,75,60,67.5,"N",14.19,7.475,22.525
3,60,45,52.5,"N",102.11,85,119.525
4,45,30,37.5,"N",282.22,258.475,307.05
5,30,15,22.5,"N",357.53,333,383.525
6,15,0,7.5,"N",293.32,263.95,315.525
7,0,-15,-7.5,"S",301.31,274.9,327.05
8,-15,-30,-22.5,"S",208.33,179.425,228
9,-30,-45,-37.5,"S",58.89,45.475,71.05
10,-45,-60,-52.5,"S",10.92,6,16.525
11,-60,-75,-67.5,"S",2.18,0,5
12,-75,-90,-82.5,"S",0.49,0,2
