"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.1,0,5
2,75,60,67.5,"N",10.09,4.475,16
3,60,45,52.5,"N",61.87,47.475,76.525
4,45,30,37.5,"N",208.06,184,230.05
5,30,15,22.5,"N",410.87,381,443.05
6,15,0,7.5,"N",436.72,407.95,469
7,0,-15,-7.5,"S",258.45,237.475,283.525
8,-15,-30,-22.5,"S",216.32,194.425,240.1
9,-30,-45,-37.5,"S",89.3,71.425,109.525
10,-45,-60,-52.5,"S",32.69,21.95,44
11,-60,-75,-67.5,"S",6.52,2.475,10.525
12,-75,-90,-82.5,"S",0.94,0,3.52499999999999
