"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.57,0,8
2,75,60,67.5,"N",19.54,11,27.05
3,60,45,52.5,"N",86.75,69,107.05
4,45,30,37.5,"N",241.45,223,268.15
5,30,15,22.5,"N",446.12,420.95,478.525
6,15,0,7.5,"N",502.35,470.375,533.575
7,0,-15,-7.5,"S",319.33,291.375,348.575
8,-15,-30,-22.5,"S",205.35,178.9,227.525
9,-30,-45,-37.5,"S",118.15,100.95,136.525
10,-45,-60,-52.5,"S",35.34,26.475,46.575
11,-60,-75,-67.5,"S",7.43,3,14
12,-75,-90,-82.5,"S",1.55,0,5
