"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.53,0,6
2,75,60,67.5,"N",14.06,7.475,22
3,60,45,52.5,"N",68.21,54.425,82
4,45,30,37.5,"N",261.95,239.95,289.525
5,30,15,22.5,"N",494.01,462.9,520.625
6,15,0,7.5,"N",464.57,436.95,490
7,0,-15,-7.5,"S",298.23,270.475,325.625
8,-15,-30,-22.5,"S",216.61,196.475,240.575
9,-30,-45,-37.5,"S",107.84,93.95,125.525
10,-45,-60,-52.5,"S",44.08,33.475,56
11,-60,-75,-67.5,"S",12.05,7.475,18.525
12,-75,-90,-82.5,"S",2,0,5
