"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.02,0,5
2,75,60,67.5,"N",10.8,5,17
3,60,45,52.5,"N",65.14,50.475,78
4,45,30,37.5,"N",218.54,190.375,243.525
5,30,15,22.5,"N",472.77,442.475,501.575
6,15,0,7.5,"N",486.78,462.9,514.525
7,0,-15,-7.5,"S",215.33,188.375,239.525
8,-15,-30,-22.5,"S",166.39,142.95,190.575
9,-30,-45,-37.5,"S",82.98,66.95,103.625
10,-45,-60,-52.5,"S",27.85,17.475,38.525
11,-60,-75,-67.5,"S",5.99,2,11
12,-75,-90,-82.5,"S",0.91,0,2.52499999999999
