"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.18,0,5
2,75,60,67.5,"N",12.27,4.475,19.525
3,60,45,52.5,"N",55.35,41.475,68
4,45,30,37.5,"N",155.32,131.475,178.525
5,30,15,22.5,"N",297.08,276,319.525
6,15,0,7.5,"N",457.92,430.475,487.525
7,0,-15,-7.5,"S",488.68,459.375,522.575
8,-15,-30,-22.5,"S",336.19,309,366.725
9,-30,-45,-37.5,"S",150.9,129.95,172
10,-45,-60,-52.5,"S",32.45,20.95,44.575
11,-60,-75,-67.5,"S",5.34,1,10
12,-75,-90,-82.5,"S",0.85,0,2.52499999999999
