"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.98,0,5.52499999999999
2,75,60,67.5,"N",13.28,8,19
3,60,45,52.5,"N",60.38,45.475,74.525
4,45,30,37.5,"N",178.29,160.95,197
5,30,15,22.5,"N",370.72,338.375,400.05
6,15,0,7.5,"N",512.1,480.95,548
7,0,-15,-7.5,"S",420.29,388.95,442.525
8,-15,-30,-22.5,"S",274.6,248,304
9,-30,-45,-37.5,"S",121.55,105,141.525
10,-45,-60,-52.5,"S",34.51,24,47.05
11,-60,-75,-67.5,"S",7.25,3,13.525
12,-75,-90,-82.5,"S",1.15,0,4
