"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.69,0,6
2,75,60,67.5,"N",14.19,6.475,20.525
3,60,45,52.5,"N",67.54,55,82.525
4,45,30,37.5,"N",229.46,208.95,254.15
5,30,15,22.5,"N",475.7,449.425,503.05
6,15,0,7.5,"N",569.59,538.275,598.525
7,0,-15,-7.5,"S",339.59,316.95,369.525
8,-15,-30,-22.5,"S",156.1,133.95,177.525
9,-30,-45,-37.5,"S",86.17,69.95,104.575
10,-45,-60,-52.5,"S",30.15,16.95,42.05
11,-60,-75,-67.5,"S",7.7,2.475,15.05
12,-75,-90,-82.5,"S",1.27,0,4
