"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.29,0,6
2,75,60,67.5,"N",12.59,7,18.525
3,60,45,52.5,"N",62.49,47.475,77.1
4,45,30,37.5,"N",213.53,184.9,235.575
5,30,15,22.5,"N",411.91,385.9,437.525
6,15,0,7.5,"N",521.71,495.95,548.1
7,0,-15,-7.5,"S",419.73,389.475,449.525
8,-15,-30,-22.5,"S",199.27,175.475,219.525
9,-30,-45,-37.5,"S",98.74,81,116.05
10,-45,-60,-52.5,"S",33.45,23.475,43.525
11,-60,-75,-67.5,"S",8.11,2.475,14.525
12,-75,-90,-82.5,"S",1.4,0,4
