"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.49,0.475,6.52499999999999
2,75,60,67.5,"N",18.13,11,27.525
3,60,45,52.5,"N",84.75,68.95,101
4,45,30,37.5,"N",241.84,220,262.525
5,30,15,22.5,"N",426.97,396,456.575
6,15,0,7.5,"N",472.71,442.9,504.625
7,0,-15,-7.5,"S",338.1,308.95,366.525
8,-15,-30,-22.5,"S",231.96,204.475,258.525
9,-30,-45,-37.5,"S",126.53,107.475,149.525
10,-45,-60,-52.5,"S",35.53,23.475,47.525
11,-60,-75,-67.5,"S",7.11,3,12
12,-75,-90,-82.5,"S",1.32,0,4.52499999999999
