"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.26,0,6
2,75,60,67.5,"N",14.2,7.475,20
3,60,45,52.5,"N",63.84,48,77.525
4,45,30,37.5,"N",184.38,156.475,205.525
5,30,15,22.5,"N",406.9,381.425,435.05
6,15,0,7.5,"N",506.48,478.425,541.575
7,0,-15,-7.5,"S",416.63,386.425,448.525
8,-15,-30,-22.5,"S",281.65,249.425,308.05
9,-30,-45,-37.5,"S",86.97,69.475,103.575
10,-45,-60,-52.5,"S",16.74,10.475,25.05
11,-60,-75,-67.5,"S",3.42,0.475,7
12,-75,-90,-82.5,"S",0.71,0,2
