"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.99,0,2.52499999999999
2,75,60,67.5,"N",15.32,9,24
3,60,45,52.5,"N",98.38,84.475,113
4,45,30,37.5,"N",283.93,260.475,314.05
5,30,15,22.5,"N",363.65,332.75,392.675
6,15,0,7.5,"N",299.58,271.475,325.575
7,0,-15,-7.5,"S",299.35,273.475,325.575
8,-15,-30,-22.5,"S",217.97,192.95,251.05
9,-30,-45,-37.5,"S",55.93,40.475,71.575
10,-45,-60,-52.5,"S",11.08,6,17
11,-60,-75,-67.5,"S",2.41,0,6
12,-75,-90,-82.5,"S",0.6,0,2
