"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.08,0,5
2,75,60,67.5,"N",12.28,6.475,19
3,60,45,52.5,"N",67.66,52.475,82.525
4,45,30,37.5,"N",167.94,145.475,189.625
5,30,15,22.5,"N",274.13,245.425,303.1
6,15,0,7.5,"N",376.95,346.425,406.05
7,0,-15,-7.5,"S",468.3,438.475,495.525
8,-15,-30,-22.5,"S",374.98,348.8,399.05
9,-30,-45,-37.5,"S",183.12,161.95,208
10,-45,-60,-52.5,"S",46.51,34.475,57
11,-60,-75,-67.5,"S",7.54,4,14
12,-75,-90,-82.5,"S",1.35,0,4
