"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.82,0,6
2,75,60,67.5,"N",16.38,9.475,24.525
3,60,45,52.5,"N",77.57,60,94.525
4,45,30,37.5,"N",252.38,225.475,282.525
5,30,15,22.5,"N",509.9,480.375,537.05
6,15,0,7.5,"N",518.41,486,550
7,0,-15,-7.5,"S",298,271.95,321.525
8,-15,-30,-22.5,"S",171.91,151.475,197.05
9,-30,-45,-37.5,"S",96.59,78,118
10,-45,-60,-52.5,"S",32.61,22.475,43.05
11,-60,-75,-67.5,"S",7.96,3,14
12,-75,-90,-82.5,"S",1.27,0,3
