"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.36,0,5
2,75,60,67.5,"N",14.63,8,22
3,60,45,52.5,"N",69.74,56.475,86.05
4,45,30,37.5,"N",258.95,231.475,283.575
5,30,15,22.5,"N",483.61,457.475,511
6,15,0,7.5,"N",398.7,374.9,425.575
7,0,-15,-7.5,"S",196.52,171.95,220.525
8,-15,-30,-22.5,"S",214.43,193.425,242.575
9,-30,-45,-37.5,"S",91.8,78.475,105
10,-45,-60,-52.5,"S",21.58,13.475,30.525
11,-60,-75,-67.5,"S",1.59,0,4.52499999999999
12,-75,-90,-82.5,"S",0.39,0,2
