"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.1,0,6.52499999999999
2,75,60,67.5,"N",17.97,11,26
3,60,45,52.5,"N",100.46,85.475,118.05
4,45,30,37.5,"N",305.14,278.475,336.05
5,30,15,22.5,"N",464.27,434.9,496.525
6,15,0,7.5,"N",397.86,369.9,429
7,0,-15,-7.5,"S",336.05,309.475,365
8,-15,-30,-22.5,"S",244.18,220.475,265.525
9,-30,-45,-37.5,"S",107.66,89,125
10,-45,-60,-52.5,"S",25.97,17.475,35
11,-60,-75,-67.5,"S",4.84,1,10
12,-75,-90,-82.5,"S",0.86,0,3.52499999999999
