"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.33,1,8
2,75,60,67.5,"N",16.54,8.475,24
3,60,45,52.5,"N",78.77,65.475,92.05
4,45,30,37.5,"N",238.7,214.475,260.575
5,30,15,22.5,"N",457.57,424.85,494.525
6,15,0,7.5,"N",514.19,482.95,548.525
7,0,-15,-7.5,"S",322.78,297.95,352.525
8,-15,-30,-22.5,"S",209.46,182.475,231
9,-30,-45,-37.5,"S",103.46,88,122.575
10,-45,-60,-52.5,"S",28.69,21.475,40.05
11,-60,-75,-67.5,"S",6.53,3,12
12,-75,-90,-82.5,"S",1.43,0,4
