"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.38,0,6
2,75,60,67.5,"N",13.99,8,21.525
3,60,45,52.5,"N",69.56,55.475,86
4,45,30,37.5,"N",222.93,197.475,249.15
5,30,15,22.5,"N",409.66,378.475,438.05
6,15,0,7.5,"N",485.13,454.475,515.575
7,0,-15,-7.5,"S",409.46,381.325,438
8,-15,-30,-22.5,"S",234.14,208.475,263.525
9,-30,-45,-37.5,"S",101.3,82.95,117.525
10,-45,-60,-52.5,"S",30.64,22,43
11,-60,-75,-67.5,"S",7.31,2.475,12.525
12,-75,-90,-82.5,"S",1.33,0,4
