"name","mean_richness","CI.Lower","CI.Upper","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",170.14,148.425,189.575,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",164.97,145,187,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",95.46,80.475,115.05,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",103.36,88.475,120.05,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",96.43,79,112,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",58,42.475,70.525,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",95.17,75,114.525,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",51.06,37.475,64,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",64.76,53,81.1499999999999,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",84.58,72,101.05,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",111.12,93,130.1,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",59.36,48.475,72.525,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",111.72,93.475,132,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",128.92,112,153.525,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",58.99,41.9,74.525,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",31.11,21.475,43.575,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",71.75,55.475,90,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",185.91,162,207,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",112.28,95.95,130,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",54.26,41,71,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",44.56,33,59.05,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",82.64,67.475,104.05,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",120.55,100.95,138,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",171.73,143.375,196.575,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",129.36,112.475,149.525,125,119,113,12,"Ap","#BFE48A"
"barremian",133.97,109,156.1,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",97.33,84.475,115,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",104.34,86,121.525,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",120.08,105,136.575,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",185.86,162.475,210.575,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",197.28,178.475,219.525,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",184.57,163.475,210.525,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",192.58,169.95,218.05,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",211.49,184.95,234.525,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",150.63,131,172.1,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",59.37,48,72,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",168.57,149.475,190.525,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",156.05,138.475,171,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",73.17,61,86.525,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",52.89,41.475,65.525,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",120.78,102.475,139.525,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",136.12,114.9,153,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",124.05,104.95,145.525,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",118.35,98.475,134.525,242,239.5,237,5,"Ldn","#C983BF"
"anisian",118.54,99.475,140.1,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",45.4,34,57,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",96.94,75.95,117.05,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",104.39,86,126.1,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",129.9,108.9,152.15,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",145.4,125,165.575,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",207.14,185.425,230,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",173.7,150.475,194.525,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",175.9,155.95,197.05,279.3,275.8,272.3,7,"Kn","#E38776"
"artinskian",147.15,125,170.05,290.1,284.7,279.3,10.8,"Art","#E37B68"
"sakmarian",145.26,123.9,163.575,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"asselian",138.81,121,161.525,298.9,297.2,295.5,3.4,"As","#E36350"
