"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0,0,0
2,75,60,67.5,"N",0.13,0,1
3,60,45,52.5,"N",2.42,0,5.52499999999999
4,45,30,37.5,"N",21.6,12.475,30
5,30,15,22.5,"N",22.62,14.475,33.525
6,15,0,7.5,"N",17.79,11.475,25
7,0,-15,-7.5,"S",19.92,11,28
8,-15,-30,-22.5,"S",22.28,15.475,30
9,-30,-45,-37.5,"S",4.34,1,9
10,-45,-60,-52.5,"S",0.47,0,2
11,-60,-75,-67.5,"S",0.04,0,1
12,-75,-90,-82.5,"S",0.03,0,0.524999999999991
