"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"128072",185042,"col","Camp Cove",-121.83,49.35,"GSC C-117703, Topkapi Resources",NA,"MVA(F)85-292",2,"Ladinian","",242,237,15416,"gp_mid",-40.32,31.43,"129",239.5,"ladinian",33864,-57.8119,19.3358,46,1
"130247",188980,"col","",8.7,48.56,"Upper Muschelkalk of Nagold",NA,"",1,"Ladinian","",242,237,63464,"gp_mid",27.48,28.07,"305",239.5,"ladinian",34394,17.2823,24.2134,46,1
"132845",194785,"col","Lower Meride Limestone",8.93,45.9,"Neusticosaurus peyeri-type locality",NA,"Acqua del Ghiffo, Cava superior beds",1,"Ladinian","",242,237,66200,"gp_mid",33.62,18.03,"307",239.5,"ladinian",34936,19.0343,22.3004,46,1
"133289",195711,"col","Cañete",-1.57,39.75,"Villora",NA,"Hispaniasaurus type locality",12,"Ladinian","",242,237,66614,"gp_mid",20.36,18.63,"304",239.5,"ladinian",35038,10.5534,10.4062,46,1
"133889",196661,"col","Prosanto",9.75,46.63,"near Bergün",NA,"",1,"Ladinian","",242,237,66899,"gp_mid",34.57,17.85,"307",239.5,"ladinian",35156,19.3809,25.8877,46,1
"135326",199760,"col","Partnach",9.91,47.15,"Braz, Klosterthal",NA,"",1,"Ladinian","",242,237,35078,"gp_mid",35.11,17.98,"307",239.5,"ladinian",35503,19.3809,25.8877,46,1
"135327",199761,"col","Partnach",9.99,47.12,"Dalaas",NA,"",1,"Ladinian","",242,237,35078,"gp_mid",35.11,17.92,"307",239.5,"ladinian",35504,19.3809,25.8877,46,1
"135734",201607,"col","Muschelkalk",8.32,40.55,"Punta del Lavatoio, Alghero",NA,"Punta dei Lavatori",15,"Ladinian","",242,237,68983,"gp_mid",NA,NA,"coordinates not computable using this model",239.5,"ladinian",35594,19.443,17.3155,46,1
"135863",200824,"col","Falang",103.75,23.75,"Coal Hill, Pingyuanjie / Nianshan",NA,"Pingyuanzhen",1,"Ladinian","",242,237,47190,"gp_mid",107.28,-9.31,"611",239.5,"ladinian",35652,119.7653,18.7825,46,1
"135961",200933,"col","",104,23.81,"Xiaomaheng, Qiubei",NA,"",1,"Ladinian","",242,237,47190,"gp_mid",107.51,-9.25,"611",239.5,"ladinian",35681,119.7653,18.7825,46,1
"136483",201999,"col","Schlern",11.57,46.51,"Schlernplateau, SP10+SP11 B bed",NA,"",19,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136484",202000,"col","Schlern",11.57,46.51,"Schlernplateau, SP7 SK-E S bed",NA,"",25,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136485",202001,"col","Schlern",11.57,46.51,"Schlernplateau, SP3 Plateau bed",NA,"",25,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136513",202028,"col","Schlern",11.57,46.51,"Schlernplateau, SP14 SK-EO",NA,"",22,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136514",202029,"col","Schlern",11.57,46.51,"Schlernplateau, SP3 SK-E W",NA,"",21,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136515",202030,"col","Schlern",11.57,46.51,"Schlernplateau, SP4 Plateau bed",NA,"",30,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136516",202031,"col","Schlern",11.57,46.51,"Schlernplateau, SP8 A bed",NA,"",15,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136517",202032,"col","Schlern",11.57,46.51,"Schlernplateau, SP5 bed",NA,"",22,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136521",202037,"col","Schlern",11.57,46.51,"Schlernplateau, SP7 A bed",NA,"",12,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136522",202038,"col","Schlern",11.57,46.51,"Schlernplateau, SP8 B bed",NA,"",15,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136523",202039,"col","Schlern",11.57,46.51,"Schlernplateau, SP8 near B bed",NA,"",14,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136524",202040,"col","Schlern",11.57,46.51,"Schlernplateau, SP SK-ES bed",NA,"",20,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136525",202041,"col","Schlern",11.57,46.51,"Schlernplateau, SP SK-E bed",NA,"",18,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136526",202042,"col","Schlern",11.57,46.51,"Schlernplateau, SP14 SK-E bed",NA,"",3,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136527",202043,"col","Schlern",11.57,46.51,"Schlernplateau, SP14 SK O bed",NA,"",7,"Ladinian","",242,237,69192,"gp_mid",35.06,16.68,"307",239.5,"ladinian",26921,19.3809,25.8877,46,1
"136777",202341,"col","Raibl",10.1,45.79,"Toline, Lago d'Iseo",NA,"Lake Iseo",2,"Ladinian","",242,237,69328,"gp_mid",33.9,17.26,"307",239.5,"ladinian",35883,14.9765,13.7033,46,1
"137254",202902,"col","",157.3,64.5,"Korkodon River basin (lenticularis zone)",NA,"",4,"Ladinian","",242,237,69414,"gp_mid",-128.78,80.32,"405",239.5,"ladinian",35930,-89.1721,65.4877,46,1
"137255",202903,"col","",160.47,65.27,"Omolon River basin (lenticularis zone)",NA,"",3,"Ladinian","",242,237,69414,"gp_mid",-128.29,78.78,"405",239.5,"ladinian",35931,-88.7079,63.9156,46,1
"137260",202908,"col","",167.14,66.69,"Bol'shoy Anyuy River basin (lenticularis zone)",NA,"",1,"Ladinian","",242,237,69414,"gp_mid",-127.08,75.72,"405",239.5,"ladinian",35934,-24.6864,59.609,46,1
"137262",202910,"col","",160.47,65.27,"Omolon River basin (gibbosus zone)",NA,"",1,"Ladinian","",242,237,69414,"gp_mid",-128.29,78.78,"405",239.5,"ladinian",35931,-88.7079,63.9156,46,1
"137618",203347,"col","",18.02,47.15,"Tóhegy, Hajmáskér",NA,"",3,"Ladinian","",242,237,69729,"gp_mid",37.91,13.18,"308",239.5,"ladinian",36023,23.4856,29.4151,46,1
"137619",203348,"col","",17.87,47.05,"Vámos-Katrabocza",NA,"Nemesvámos",22,"Ladinian","",242,237,69729,"gp_mid",37.78,13.21,"308",239.5,"ladinian",36024,23.4856,29.4151,46,1
"137620",203349,"col","",17.79,46.99,"Nagy-Gella",NA,"near Tótvázsony and Hidegkút",4,"Ladinian","",242,237,69729,"gp_mid",37.69,13.23,"308",239.5,"ladinian",36025,23.4856,29.4151,46,1
"137646",203382,"col","Wengen",11.57,46.31,"La Forcella, Predazzo",NA,"Forzella",1,"Ladinian","",242,237,69734,"gp_mid",34.88,16.59,"307",239.5,"ladinian",36042,19.3809,25.8877,46,1
"137658",203394,"col","Buchenstein",11.99,46.45,"Rucavà",NA,"",1,"Ladinian","",242,237,69734,"gp_mid",35.15,16.4,"307",239.5,"ladinian",36044,19.3809,25.8877,46,1
"137702",203444,"col","",28.88,45.03,"Agighiol",NA,"Hagighiol",2,"Ladinian","",242,237,69734,"gp_mid",43.63,28.98,"302",239.5,"ladinian",36055,31.8723,33.1363,46,1
"137703",203445,"col","",28.8,45.17,"Tulcea",NA,"",2,"Ladinian","",242,237,69734,"gp_mid",43.52,29.09,"302",239.5,"ladinian",36056,31.8723,33.1363,46,1
"137734",203476,"col","",15.77,40.12,"Lagonegro (Ladinian)",NA,"",2,"Ladinian","",242,237,69734,"gp_mid",30.94,10.85,"307",239.5,"ladinian",36078,15.4785,8.0127,46,1
"138234",204497,"col","Radomir",23.07,42.55,"Mount Golo Burdo, SW Bulgaria",NA,"Golo Bardo",2,"Ladinian","",242,237,70115,"gp_mid",36.06,7.65,"308",239.5,"ladinian",36199,29.413,27.0501,46,1
"138235",204498,"col","Porphyrit-Hornstein",18.87,42.46,"Crna Gora, Montenegro",NA,"",2,"Ladinian","",242,237,70115,"gp_mid",34.22,10.15,"307",239.5,"ladinian",36200,19.0654,9.2854,46,1
"138668",205122,"col","Schlern",11.65,46.47,"Cima di Larsec, Vajoletal",NA,"",1,"Ladinian","",242,237,70360,"gp_mid",35.05,16.62,"307",239.5,"ladinian",36339,19.3809,25.8877,46,1
"138669",205123,"col","Marmolata",11.78,46.4,"Cima di Costabella (Marmolatakalk)",NA,"",1,"Ladinian","",242,237,70360,"gp_mid",35.04,16.51,"307",239.5,"ladinian",36340,19.3809,25.8877,46,1
"138670",205124,"col","Marmolata",11.75,46.54,"Ciampinoi",NA,"Ciamp di Pinoi",3,"Ladinian","",242,237,70360,"gp_mid",35.15,16.59,"307",239.5,"ladinian",36341,19.3809,25.8877,46,1
"138673",205127,"col","Wengen",11.76,46.5,"Salei, Sella Pass (Wengen Fm.)",NA,"Sellajoch",4,"Ladinian","",242,237,70360,"gp_mid",35.12,16.57,"307",239.5,"ladinian",36342,19.3809,25.8877,46,1
"138675",205129,"col","Wengen",11.87,46.55,"Corvara (Wengen Fm.)",NA,"",19,"Ladinian","",242,237,70360,"gp_mid",35.2,16.52,"307",239.5,"ladinian",29224,19.3809,25.8877,46,1
"138676",205130,"col","Wengen",11.74,46.56,"La Poza, Selva / Wolkenstein",NA,"La Pozza",2,"Ladinian","",242,237,70360,"gp_mid",35.17,16.6,"307",239.5,"ladinian",36343,19.3809,25.8877,46,1
"138677",205131,"col","Wengen",11.65,46.51,"Mahlknecht, Seiser Alm",NA,"",2,"Ladinian","",242,237,70360,"gp_mid",35.09,16.63,"307",239.5,"ladinian",36344,19.3809,25.8877,46,1
"138678",205132,"col","Wengen",11.74,46.59,"Aschkler Alpe, south of Seceda (Wengen Fm.)",NA,"",7,"Ladinian","",242,237,70360,"gp_mid",35.2,16.62,"307",239.5,"ladinian",36345,19.3809,25.8877,46,1
"138679",205133,"col","Wengen",11.67,46.48,"Mount Dona, above Mazzin (Wengen Fm.)",NA,"",2,"Ladinian","",242,237,70360,"gp_mid",35.07,16.61,"307",239.5,"ladinian",36346,19.3809,25.8877,46,1
"138680",205134,"col","Wengen",11.75,46.57,"Schwatschalpe, Selva / Wolkenstein",NA,"",3,"Ladinian","",242,237,70360,"gp_mid",35.18,16.6,"307",239.5,"ladinian",36347,19.3809,25.8877,46,1
"138681",205135,"col","Wengen",11.57,46.52,"Euringer, Schlern",NA,"Euringerspitz",1,"Ladinian","",242,237,70360,"gp_mid",35.08,16.69,"307",239.5,"ladinian",36348,19.3809,25.8877,46,1
"138682",205136,"col","Wengen",11.62,46.55,"Puflatsch (Wengen Fm.)",NA,"",2,"Ladinian","",242,237,70360,"gp_mid",35.12,16.68,"307",239.5,"ladinian",36349,19.3809,25.8877,46,1
"138683",205137,"col","Wengen",11.76,46.59,"Cislesalpe (Wengen Fm.)",NA,"Ncisles",1,"Ladinian","",242,237,70360,"gp_mid",35.2,16.61,"307",239.5,"ladinian",36350,19.3809,25.8877,46,1
"138684",205138,"col","Wengen",11.8,46.55,"East side of Val Gardena",NA,"Grödner Joch",1,"Ladinian","",242,237,70360,"gp_mid",35.18,16.56,"307",239.5,"ladinian",36351,19.3809,25.8877,46,1
"138685",205139,"col","Wengen",11.78,46.53,"West side of Val Gardena",NA,"Grödner Joch",1,"Ladinian","",242,237,70360,"gp_mid",35.16,16.57,"307",239.5,"ladinian",36352,19.3809,25.8877,46,1
"138686",205140,"col","Buchenstein",11.64,46.56,"Pufler Gorge, Seiser Alm (Buchenstein Fm.)",NA,"Puflerbach, Pufelser Schlucht",5,"Ladinian","",242,237,70360,"gp_mid",35.13,16.67,"307",239.5,"ladinian",36353,19.3809,25.8877,46,1
"138689",205143,"col","Marmolata",11.77,46.46,"Sass di Saliceng, above Canazei and Alba (Marmolatakalk)",NA,"Greppatal, Monte Greppa",1,"Ladinian","",242,237,70360,"gp_mid",35.09,16.54,"307",239.5,"ladinian",36356,19.3809,25.8877,46,1
"138691",205145,"col","Marmolata",11.75,46.5,"North side of Col Rodella, Campitello (Marmolatakalk)",NA,"",2,"Ladinian","",242,237,70360,"gp_mid",35.12,16.57,"307",239.5,"ladinian",36358,19.3809,25.8877,46,1
"139056",205590,"col","",126.06,-8.8,"Ue Fae Maquero, SE of Pualaca",NA,"",1,"Ladinian","",242,237,70396,"gp_mid",101.06,-41.02,"680",239.5,"ladinian",36553,112.8117,-28.2943,46,1
"139722",212343,"col","",11.82,46.62,"Mundevilla, Abteythal",NA,"Between Schoatsch and Zwischenkofel",4,"Ladinian","",242,237,73139,"gp_mid",35.25,16.58,"307",239.5,"ladinian",36738,19.3809,25.8877,46,1
"139875",206613,"col","",17.85,44.17,"""Hvara vrelo"", Vrhovine",NA,"",2,"Ladinian","",242,237,71033,"gp_mid",35.27,11.69,"307",239.5,"ladinian",36796,18.3583,14.2073,46,1
"139946",206783,"col","Muschelkalk",21.27,50.93,"Bukowie",NA,"",1,"Ladinian","",242,237,71095,"gp_mid",35.67,32.71,"302",239.5,"ladinian",36828,23.4079,32.7504,46,1
"140045",207038,"col","",17.7,46.99,"Nagyvázsony",NA,"",1,"Ladinian","",242,237,71255,"gp_mid",37.66,13.28,"308",239.5,"ladinian",36871,23.4856,29.4151,46,1
"140368",207622,"col","Long Gully",170.16,-44.66,"Backyards Road cutting (S117/f754)",NA,"",14,"Ladinian","",242,237,71594,"gp_mid",69.11,-88.23,"807",239.5,"ladinian",36991,132.0009,-74.6743,46,1
