"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"100650",201411,"col","",-5.8,57.25,"Ob Lusa, Coral Bed 5",NA,"",3,"Hettangian","",201.3,199.3,68930,"gp_mid",3.63,40.45,"303",1,200.3,"hettangian",1
"100732",201829,"col","Gijón",-5.871111,43.521667,"Corvera de Asturias",NA,"",5,"Hettangian","",201.3,199.3,69071,"gp_mid",11.32,30.45,"304",1,200.3,"hettangian",1
"100735",201832,"col","Gijón",-5.179444,43.475277,"Caravia Alta (upper)",NA,"",5,"Hettangian","",201.3,199.3,69071,"gp_mid",11.87,30.29,"304",1,200.3,"hettangian",1
"102200",204158,"col","Lower",-1.88,51.805,"Stowell Park borehole (S. angulata Zone, S. angulata Subzone, 1874-1931ft)",NA,"",11,"Hettangian","",201.3,199.3,69925,"gp_mid",9.32,36.57,"315",1,200.3,"hettangian",1
"102201",204159,"col","Lower",-1.88,51.805,"Stowell Park borehole (S. angulata Zone, L. laqueus Subzone, 1931-1972ft)",NA,"",16,"Hettangian","",201.3,199.3,69925,"gp_mid",9.32,36.57,"315",1,200.3,"hettangian",1
"102202",204160,"col","Lower",-1.88,51.805,"Stowell Park borehole (P. planorbis Zone, C. johnstoni Subzone, 1972-1990ft)",NA,"",4,"Hettangian","",201.3,199.3,69925,"gp_mid",9.32,36.57,"315",1,200.3,"hettangian",1
"102203",204161,"col","Lower",-1.88,51.805,"Stowell Park borehole (P. planorbis Zone, P. planorbis Subzone, 1990-2026ft)",NA,"",9,"Hettangian","",201.3,199.3,69925,"gp_mid",9.32,36.57,"315",1,200.3,"hettangian",1
"102204",204162,"col","Lower",-1.88,51.805,"Stowell Park borehole (pre-planorbis Beds, 2026-2047ft)",NA,"",6,"Hettangian","",201.3,199.3,69925,"gp_mid",9.32,36.57,"315",1,200.3,"hettangian",1
"103157",205683,"col","",124.569725,-9.844722,"Tooi area (towards Poetain)",NA,"Toi",1,"Hettangian","",201.3,199.3,70502,"gp_mid",94.82,-23.95,"680",1,200.3,"hettangian",1
"103543",206574,"col","",-3,50.985558,"West Hatch near Taunton",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",8.98,35.53,"315",1,200.3,"hettangian",1
"103544",206575,"col","",-3.548333,51.209999,"Selworthy near Minehead",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",8.48,35.58,"315",1,200.3,"hettangian",1
"103545",206576,"col","",-3.047778,50.985832,"Thurlbear near Taunton",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",8.94,35.52,"315",1,200.3,"hettangian",1
"103546",206577,"col","",-2,52.123055,"Craycombe near Pershore",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",9.06,36.82,"315",1,200.3,"hettangian",1
"103547",206578,"col","",-2.966389,50.712776,"Pinhay Bay, near Lyme Regis",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",9.15,35.29,"315",1,200.3,"hettangian",1
"103548",206579,"col","",-1.848056,52.148888,"Bickmarsh, east of Cleeve Prior",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",9.15,36.89,"315",1,200.3,"hettangian",1
"103549",206580,"col","",-0.803056,54.05722,"Leavening near Malton",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",8.77,38.87,"315",1,200.3,"hettangian",1
"103550",206581,"col","",-2.554167,52.965557,"Geological Survey borehole, Wilkesley",NA,"",1,"Hettangian","",201.3,199.3,71006,"gp_mid",8.21,37.43,"315",1,200.3,"hettangian",1
