"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"31054",77920,"col","Furanui",142.233337,42.516666,"Hirotomi, eurythermal molluscs",NA,"",10,"Langhian","",15.97,13.82,26300,"gp_mid",139.28,42.48,"610",1,14.895,"langhian",1
"31055",77921,"col","Furanui",142.233337,42.516666,"Hirotomi, undifferentiated molluscs",NA,"",22,"Langhian","",15.97,13.82,26300,"gp_mid",139.28,42.48,"610",1,14.895,"langhian",1
"31454",78548,"col","Kasaba",39.900555,40.663334,"Boyacipinan - lower mudstone facies [Kasaba Fm]",NA,"",22,"Langhian","",15.97,13.82,25058,"gp_mid",40.27,37.52,"511",1,14.895,"langhian",1
"31455",78549,"col","Kasaba",39.900555,40.663334,"Boyacipinan - sandstone facies [Kasaba Fm]",NA,"",2,"Langhian","",15.97,13.82,25058,"gp_mid",40.27,37.52,"511",1,14.895,"langhian",1
"31456",78550,"col","Kasaba",39.900555,40.663334,"Boyacipinan - sandy limestone facies [Kasaba Fm]",NA,"",5,"Langhian","",15.97,13.82,25058,"gp_mid",40.27,37.52,"511",1,14.895,"langhian",1
"31457",78551,"col","Kasaba",39.900555,40.663334,"Boyacipinan - upper mudstone facies [Kasaba Fm]",NA,"",6,"Langhian","",15.97,13.82,25058,"gp_mid",40.27,37.52,"511",1,14.895,"langhian",1
"32014",79793,"col","Calvert",-76.83139,38.163334,"Stratford Hall, Langhian, Zones 10-11",NA,"",78,"Langhian","",15.97,13.82,26220,"gp_mid",-69.78,39.85,"109",1,14.895,"langhian",1
"34925",84947,"col","",17.163055,50.279999,"Jessenice",NA,"",1,"Langhian","",15.97,13.82,15273,"gp_mid",18.85,47.32,"305",1,14.895,"langhian",1
"37632",89036,"col","Shimo",135.550003,35.483334,"Takahama",NA,"",2,"Langhian","",15.97,13.82,29862,"gp_mid",133.12,35.18,"610",1,14.895,"langhian",1
"38850",91470,"col","",136.937225,37.118889,"Hannoura",NA,"",1,"Langhian","",15.97,13.82,30804,"gp_mid",134.4,36.87,"610",1,14.895,"langhian",1
"39525",92291,"col","Muddy Creek",141.916672,-37.733334,"Muddy Creek (USNM collection)",NA,"",7,"Langhian","",15.97,13.82,26424,"gp_mid",144.98,-46.1,"801",1,14.895,"langhian",1
"42357",96784,"col","Dej Tuff",24.013889,47.245834,"Corobani, Ciceu Giurgeti",NA,"",1,"Langhian","",15.97,13.82,33019,"gp_mid",25.87,43.07,"308",1,14.895,"langhian",1
"42401",96896,"col","Tsuchiyutoge",140.333328,37.683334,"Higashi Karasugawa River",NA,"",1,"Langhian","",15.97,13.82,40902,"gp_mid",137.74,37.58,"610",1,14.895,"langhian",1
"42838",97416,"col","Calvert",-77.414719,37.522778,"Bloody Run Ravine",NA,"",1,"Langhian","",15.97,13.82,33212,"gp_mid",-70.45,39.26,"109",1,14.895,"langhian",1
"47331",104749,"col","",-76,38,"Horsehead Cliffs, Zone 11",NA,"Westmoreland State Park",1,"Langhian","",15.97,13.82,35053,"gp_mid",-68.95,39.63,"109",1,14.895,"langhian",1
"55916",116631,"col","",49.530556,40.499168,"Sumgait River, Gobustan, member 12 Burdigalian",NA,"",6,"Langhian","",15.97,13.82,37562,"gp_mid",49.49,37.42,"402",1,14.895,"langhian",1
"55921",116636,"col","",49.473331,40.513332,"Mount Islamdag, Eastern Slope, Maikop Group, member 10-14",NA,"",7,"Langhian","",15.97,13.82,37562,"gp_mid",49.44,37.44,"402",1,14.895,"langhian",1
"57741",118942,"col","Tsubono",137.428055,36.741943,"Namerikawa",NA,"Minowa",1,"Langhian","",15.97,13.82,38198,"gp_mid",134.91,36.51,"610",1,14.895,"langhian",1
"60372",122377,"col","",143.149994,-38.683334,"Gellibrand River",NA,"",6,"Langhian","",15.97,13.82,38943,"gp_mid",146.55,-46.91,"801",1,14.895,"langhian",1
"63280",127702,"col","",133.449997,34.74889,"Imobara",NA,"BIH-1",4,"Langhian","",15.97,13.82,41705,"gp_mid",131.08,34.35,"610",1,14.895,"langhian",1
"63281",127703,"col","Jinseki",133.299164,34.772499,"Munekane",NA,"BIH-2",2,"Langhian","",15.97,13.82,41705,"gp_mid",130.93,34.37,"610",1,14.895,"langhian",1
"63284",127705,"col","Yoshino",134.156662,35.075558,"Cliff of Mino",NA,"KTT-1",1,"Langhian","",15.97,13.82,41705,"gp_mid",131.76,34.71,"610",1,14.895,"langhian",1
"63286",127706,"col","",134.192215,35.101112,"Cliff of Kaki",NA,"KTT-2",3,"Langhian","",15.97,13.82,41705,"gp_mid",131.8,34.74,"610",1,14.895,"langhian",1
"63288",127707,"col","Yoshino",134.06694,35.051388,"Niida",NA,"KTT-3",5,"Langhian","",15.97,13.82,41705,"gp_mid",131.68,34.68,"610",1,14.895,"langhian",1
"67058",133497,"col","Itahashi",133,34.863056,"Shobara, Itahashi Formation",NA,"",2,"Langhian","",15.97,13.82,63180,"gp_mid",130.63,34.45,"610",1,14.895,"langhian",1
