"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"113070",160722,"col","San Juan Raya",-97.550003,18.200001,"Atecoxco locality,  La Compañía section, San Juan Raya Formation",NA,"",6,"Aptian","",125,113,52432,"gp_mid",-43.22,21.5,"104",119,1
"113091",160749,"col","",48.25,54.32,"West of Ulyanovska and Solovyevo Mountains",NA,"",1,"Aptian","",125,113,52445,"gp_mid",65.39,43.89,"302",119,1
"113771",161584,"col","",33.733334,30.9,"Rizan Aneiza hills, Sinai",NA,"",2,"Aptian","",125,113,52616,"gp_mid",40.39,5.77,"508",119,1
"114396",162499,"col","Cerro Barcino",-68.583611,-43.842499,"Leaellyn's Site #2, Cerro Barcino",NA,"",1,"Aptian","",125,113,10337,"gp_mid",-27.1,-40.28,"291",119,1
"115498",164557,"col","Schrattenkalk",10.178333,47.373611,"Brandalpe/ Kühberg",NA,"",0,"Aptian","",125,113,53623,"gp_mid",34.13,36.8,"305",119,1
"115908",165327,"col","",-1.17,50.630001,"Shanklin, Exogyra Beds (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,1
"115920",165340,"col","Ferruginous Sands",-1.17,50.630001,"Shanklin, Ferruginous Sands",NA,"",2,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,1
"115922",165342,"col","Hythe",0.52,51.27,"Maidstone (BGS)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.54,41.27,"315",119,1
"115923",165344,"col","Ferruginous Sands",-1.17,50.630001,"Shanklin, Ferruginous Sands (Group XIII)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,1
"115924",165346,"col","Ferruginous Sands",-1.35,50.599998,"Atherfield, Ferruginous Sands (Group X)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.88,40.74,"315",119,1
"115925",165347,"col","",-1.62,51.639999,"Coxwell",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.83,41.79,"315",119,1
"115926",165348,"col","Sandgate",0.83,51.139999,"Great Chart",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.77,41.11,"315",119,1
"115927",165349,"col","Sandgate",1,51.099998,"Sellindge",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.91,41.06,"315",119,1
"115929",165351,"col","Bargate Beds",-0.51,51.209999,"St. Martha",NA,"",2,"Aptian","",125,113,18892,"gp_mid",25.68,41.28,"315",119,1
"115930",165352,"col","",6.5,46.82,"Sainte-Croix (BMNH)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",30.97,36.45,"305",119,1
"115932",165354,"col","Bargate Beds",-0.63,51.209999,"Compton, Bargate Beds (BGS)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.58,41.29,"315",119,1
"115933",165355,"col","",-1.58,51.650002,"Faringdon (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.86,41.8,"315",119,1
"115934",165356,"col","Sandgate",1.08,51.07,"Hythe (Sandgate Beds)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.97,41.03,"315",119,1
"115935",165357,"col","Ferruginous Sands",-1.17,50.630001,"Shanklin, Upper Ferruginous Sands (SM)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.04,40.76,"315",119,1
"115936",165358,"col","",1.13,51.07,"Sandgate",NA,"",1,"Aptian","",125,113,18892,"gp_mid",27.01,41.02,"315",119,1
"115937",165359,"col","Hythe",0.3,51.290001,"Borough Green",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.36,41.3,"315",119,1
"115938",165360,"col","Hythe",0.3,51.290001,"Godstone (Hythe Fm.)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",26.36,41.3,"315",119,1
"115939",165361,"col","",-0.51,50.950001,"Pulborough",NA,"",1,"Aptian","",125,113,18892,"gp_mid",25.63,41.02,"315",119,1
"116028",165467,"col","Maryborough",152.094437,-24.860556,"Bucca Crossing Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",160,-70.33,"801",119,1
"116029",165468,"col","Maryborough",144.201111,-20.838888,"Hughenden Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",140,-66.39,"801",119,1
"116031",165470,"col","Roma",143.700562,-16.530277,"River Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",140.06,-62.06,"801",119,1
"116108",165583,"col","Roma",144.534164,-17.156944,"Boomers Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",141.64,-62.76,"801",119,1
"116158",165649,"col","",40.369999,44.720001,"Fars River, northern Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",59.72,33.95,"302",119,1
