"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"116339",165884,"col","Chhasra",69.05,23.1,"Kankawati River section, Vinjan, Kutch",NA,"",1,"Burdigalian","",20.44,15.97,47015,"gp_mid",69.38,14.07,"501",18.205,"burdigalian",31128,62.8516,16.7246,9,1
"116340",165885,"col","Chhasra",68.94,23.32,"Lakhania River section, Kuapadar, Kutch",NA,"",1,"Burdigalian","",20.44,15.97,47015,"gp_mid",69.31,14.31,"501",18.205,"burdigalian",31129,62.8516,16.7246,9,1
"116388",165933,"col","Cantaure",-70.06,11.95,"Re 1184, Cantaure, Paraguaná Peninsula",NA,"",1,"Burdigalian","",20.44,15.97,54222,"gp_mid",-64.44,12.55,"203",18.205,"burdigalian",31139,-70.8445,9.221,9,1
"116611",166229,"col","Olcese",-118.92,35.57,"LSJU loc. 676, Mount Poso oil field",NA,"",1,"Burdigalian","",20.44,15.97,54367,"gp_mid",-109.81,39.21,"130",18.205,"burdigalian",31230,-112.7967,32.8799,9,1
"116704",166506,"col","Castilletes",-71.27,11.95,"Vertebrates Castilletes Formation",NA,"",37,"Burdigalian","",20.44,15.97,54378,"gp_mid",-65.66,12.59,"203",18.205,"burdigalian",31263,-70.8445,9.221,9,1
"117440",167732,"col","Chilcatay",-75.63,-14.62,"Ullujaya, Chilcatay Formation",NA,"",26,"Burdigalian","",20.44,15.97,54782,"gp_mid",-71.04,-13.79,"201",18.205,"burdigalian",18055,-71.6969,-17.4508,9,1
"117861",168746,"col","",117,-0.57,"Senoni",NA,"",4,"Burdigalian","",20.44,15.97,55182,"gp_mid",121.94,-0.69,"620",18.205,"burdigalian",31600,115.0723,3.2559,9,1
"119721",171286,"col","Gambier",140.76,-36.95,"James Quarry, Naracoorte",NA,"",1,"Burdigalian","",20.44,15.97,55713,"gp_mid",144.4,-46.74,"801",18.205,"burdigalian",31881,140.269,-46.6689,9,1
"119722",171287,"col","Mannum",139.31,-34.92,"Mannum",NA,"",1,"Burdigalian","",20.44,15.97,55713,"gp_mid",142.3,-44.9,"801",18.205,"burdigalian",31882,135.7524,-44.3494,9,1
"120858",173651,"col","",117.3,0.15,"TF126, Bontang",NA,"3D Reef",53,"Burdigalian","",20.44,15.97,73825,"gp_mid",122.13,0.06,"620",18.205,"burdigalian",32131,115.0723,3.2559,9,1
