"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"67581",134194,"col","",174.71225,-38.263439,"GS 10037, north of Tauhua Stream (R16/f8650)",NA,"B.E.T. 21",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.26,-66.62,"806",1,203.6,"rhaetian",1
"67582",134195,"col","",174.708511,-38.318611,"GS 10542, south of Marokopa (R16/f8693)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67583",134196,"col","",174.712784,-38.310398,"JDC 1812, south of Marokopa (R16/f8774)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.14,-66.62,"806",1,203.6,"rhaetian",1
"67584",134197,"col","",174.711304,-38.31546,"JDC 2783, south of Marokopa (R16/f8777)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67585",134198,"col","",174.711304,-38.31546,"McF F15, south of Marokopa (R16/f8777)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67586",134199,"col","",174.711151,-38.316151,"JDC 2786, south of Marokopa (R16/f8779)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67587",134200,"col","",174.711685,-38.316158,"JDC 2788, south of Marokopa (R16/f8780)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67599",134212,"col","Ngu\",174.709793,-38.316849,"AU 4206, south of Marokopa (R16/f8820)",NA,"",4,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67600",134213,"col","",174.709564,-38.318611,"AU 4431, south of Marokopa (R16/f8820)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67602",134215,"col","",174.713898,-38.317699,"AU 4210, south of Marokopa (R16/f8825)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.63,"806",1,203.6,"rhaetian",1
"67603",134216,"col","",174.728409,-38.315441,"AU 4212, Marokopa-Kiritehere Road (R16/f8827)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.13,-66.64,"806",1,203.6,"rhaetian",1
"67607",134220,"col","",174.727386,-38.31461,"AU 4399, Marokopa-Kiritehere Road (R16/f8857)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.13,-66.64,"806",1,203.6,"rhaetian",1
"67608",134221,"col","",174.728409,-38.315441,"AU 4241, Marokopa-Kiritehere Road (R16/f8858)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.13,-66.64,"806",1,203.6,"rhaetian",1
"67609",134222,"col","",174.750107,-38.362411,"AU 4259, Pomarangai Road (R16/f8877)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.01,-66.66,"806",1,203.6,"rhaetian",1
"67610",134223,"col","",174.758698,-38.318932,"AU 4263, Kiritehere (R16/f8881)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.66,"806",1,203.6,"rhaetian",1
"67614",134227,"col","",174.741974,-38.318829,"AU 4271, Kiritehere Valley (R16/f8889)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.65,"806",1,203.6,"rhaetian",1
"67617",134230,"col","",174.74382,-38.3419,"AU 4297, Kiritehere Valley (R16/f8916)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.06,-66.65,"806",1,203.6,"rhaetian",1
"67618",134231,"col","",174.744766,-38.351791,"AU 4300, Kiritehere Valley (R16/f8919)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.04,-66.65,"806",1,203.6,"rhaetian",1
"67619",134232,"col","",174.744766,-38.351791,"AU 4302, Kiritehere Valley (R16/f8921)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.04,-66.65,"806",1,203.6,"rhaetian",1
"67620",134233,"col","",174.711685,-38.31451,"AU 4306, south of Marokopa (R16/f8925)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.13,-66.62,"806",1,203.6,"rhaetian",1
"67621",134234,"col","",174.709564,-38.318611,"AU 4307, south of Marokopa (R16/f8926)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67622",134235,"col","",174.709564,-38.318611,"McF A4, south of Marokopa (R16/f8926)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.12,-66.62,"806",1,203.6,"rhaetian",1
"67625",134238,"col","",174.750931,-38.362541,"AU 4313, Moeatoa (R16/f8932)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.01,-66.66,"806",1,203.6,"rhaetian",1
"67628",134241,"col","",174.714874,-38.31041,"AU 4386, south of Marokopa (R16/f9006)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",87.14,-66.63,"806",1,203.6,"rhaetian",1
