"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"20240",35015,"col","Marianna",-85.23,30.77,"Marianna Limestone (Florida) fauna",NA,"Marianna Limestone fauna",2,"Rupelian","",33.9,28.1,9411,"gp_mid",-72.24,33.96,"109",31,"rupelian",4053,-79.3741,28.7841,12,1
"23783",39965,"col","Lincoln Creek",-123.61,46.58,"UCMP A1810, Willapa river, east of Holcomb",NA,"",14,"Rupelian","",33.9,28.1,58580,"gp_mid",-106.61,51.6,"129",31,"rupelian",4973,-114.3346,48.667,12,1
"24266",40734,"col","Porter",-123.31,46.94,"Porter Shale of WA",NA,"",1,"Early Oligocene","",33.9,28.4,10972,"gp_mid",-106.24,51.96,"129",31.15,"rupelian",5133,-114.3346,48.667,12,1
"24547",41074,"col","Qom",52.73,31.5,"Abadeh, solitary coral assemblage, Iran",NA,"",6,"Rupelian","",33.9,28.1,11059,"gp_mid",52.45,23.37,"512",31,"rupelian",5196,47.7279,32.3541,12,1
"24601",41197,"col","Suwannee Limestone",-85.59,30.63,"USGS Loc. 8854, 8855, 8856, 10461  - A.L. Parrish Farm [Suwannee Lmst]",NA,"USGS Loc. 12723, 12723, 13857",36,"Early Oligocene","",33.9,28.4,11080,"gp_mid",-72.64,33.87,"109",31.15,"rupelian",5222,-79.3741,28.7841,12,1
"25055",120417,"col","Makah",-123.76,48.13,"Whiskey Creek",NA,"",2,"Rupelian","",33.9,28.1,38489,"gp_mid",-106.61,53.16,"129",31,"rupelian",5377,-114.3346,48.667,12,1
"25402",42141,"col","Um ad Dahiv",17.33,29.67,"Dur el Abd Cliffs - Um ad Dahiv Fm",NA,"",2,"Early Oligocene","",33.9,28.4,11199,"gp_mid",19.61,21.62,"715",31.15,"rupelian",5482,14.6093,25.4583,12,1
"25403",42142,"col","Um ad Dahiv",17.33,29.67,"An Nuwfaliyah - Um ad Dahiv Fm",NA,"",10,"Early Oligocene","",33.9,28.4,11199,"gp_mid",19.61,21.62,"715",31.15,"rupelian",5482,14.6093,25.4583,12,1
"25406",42145,"col","Um ad Dahiv",17.33,29.67,"Dor el Abd - Um ad Dahiv Fm",NA,"",2,"Early Oligocene","",33.9,28.4,11199,"gp_mid",19.61,21.62,"715",31.15,"rupelian",5482,14.6093,25.4583,12,1
"25896",90085,"col","Port Willunga",138.47,-35.18,"Seaford [Port Willunga Fm]",NA,"",4,"Early Oligocene","",33.9,28.4,30216,"gp_mid",145.15,-51.38,"801",31.15,"rupelian",5650,134.4656,-51.499,12,1
