"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"112371",159795,"col","Lellinge Greensand",12.62,55.63,"Gemmas Allé [Lellinge Greensand]",NA,"",14,"Selandian","",61.6,59.2,52128,"gp_mid",19.11,44.79,"302",60.4,"selandian",30153,10.0375,49.4083,18,1
"112828",160393,"col","Lellinge Greensand",12.61,55.63,"Gemmas Allé (conglomerate)",NA,"Amager; Tårnby Torv",2,"Selandian","",61.6,59.2,52305,"gp_mid",19.1,44.79,"302",60.4,"selandian",30319,10.0375,49.4083,18,1
"114277",162251,"col","Getkilna",163.78,60.92,"Unspecified localities [Getkilna Fm]",NA,"",9,"Selandian","",61.6,59.2,52858,"gp_mid",151.88,70.92,"405",60.4,"selandian",30656,162.4745,69.3781,18,1
"116883",166826,"col","Landana",12.13,-5.22,"Landana Cliffs (lower part)",NA,"",2,"Selandian","",61.6,59.2,54493,"gp_mid",9.68,-19.49,"701",60.4,"selandian",13508,4.954,-13.9326,18,1
"117285",167480,"col","Syzran",46.99,51.85,"Upstream of Voskresenskoe",NA,"",1,"Selandian","",61.6,59.2,54655,"gp_mid",47.04,41.78,"302",60.4,"selandian",31483,43.9558,48.7272,18,1
"123528",178129,"col","Seguin",-97.47,30.18,"Locality 11-T-101, dry creek at mouth with Colorado River",NA,"",34,"Selandian","",61.6,59.2,58332,"gp_mid",-69.91,37.08,"101",60.4,"selandian",32729,-77.3814,34.1872,18,1
"125126",180400,"col","Manantial",-72.68,11.11,"UCMP C-14091, Manantial",NA,"",32,"Selandian","",61.6,59.2,59868,"gp_mid",-51.94,9.19,"203",60.4,"selandian",33179,-56.3682,6.4061,18,1
"128133",185135,"col","Santa Susana",-118.71,34.25,"LACMIP 22330, Meier Canyon",NA,"",1,"Selandian","",61.6,59.2,58450,"gp_mid",-88.53,42.39,"105",60.4,"selandian",33881,-97.1374,37.9619,18,1
"128136",185138,"col","",-118.7,34.12,"LACMIP 25281, Stokes Canyon",NA,"",1,"Selandian","",61.6,59.2,58450,"gp_mid",-88.55,42.26,"105",60.4,"selandian",33882,-97.1374,37.9619,18,1
"130010",188443,"col","Tienen",4.07,50.33,"Grand-Reng",NA,"",1,"Selandian","",61.6,59.2,29875,"gp_mid",11.75,39.8,"315",60.4,"selandian",34364,3.5622,44.2895,18,1
