"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"18925",33351,"col","Beacon Limestone",-2.85,50.94,"ILM-9950, Seavington section 2, Ilminster",NA,"",14,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18926",33352,"col","Beacon Limestone",-2.85,50.94,"ILM-9947, Seavington section 2, Ilminster",NA,"",7,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18927",33353,"col","Bridport Sand",-2.85,50.94,"ILM-9945, Seavington section 2, Ilminster",NA,"",2,"Late Toarcian","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"19065",33497,"col","",-4.1,52.82,"Mochras Borehole, near Llanbedr, North Wales",NA,"",17,"Toarcian","",182.7,174.1,8883,"gp_mid",17.61,39.65,"315",178.4,"toarcian",3815,19.3397,39.5371,39,1
"19157",33613,"col","",-5.52,34.05,"Moulay Idriss, Atlas Mountains",NA,"",7,"Late Toarcian","",180.1,175.6,8925,"gp_mid",NA,NA,"coordinates not computable using this model",177.85,"toarcian",3831,4.7526,27.0478,39,1
"19160",33617,"col","",-5.5,34.1,"Beni Meraz, Atlas Mountains",NA,"",2,"Toarcian","",182.7,174.1,8925,"gp_mid",NA,NA,"coordinates not computable using this model",178.4,"toarcian",3832,4.7526,27.0478,39,1
"19240",33702,"col","El Cholo",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 433-435, San Juan",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19241",33703,"col","El Cholo",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 436, San Juan",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19242",33704,"col","El Cholo",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 437, San Juan",NA,"",11,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19244",33706,"col","El Cholo",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 438a, San Juan",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
