"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"13890",27106,"col","Lower Magnesium Limestone",-1.266667,52.983334,"Lower Magnesium Limestone (upper) Sutton borehole Nottinghamshire",NA,"",27,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",21.39,25.39,"315",257.035,1
"13891",27107,"col","St Bees Evaporite",-3.233333,54.116669,"Grey Siltstones St Bees Evaporite Formation Roosecote borehole Barrow-in-Furnes",NA,"",14,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",19.99,26.42,"315",257.035,1
"15275",29427,"col","Illawarra Coal Measures",149.800003,-32.5,"Kanes's Flat",NA,"PGAP 13161",11,"Wuchiapingian","",259.9,254.17,8270,"gp_mid",134.8,-77.87,"801",257.035,1
"15621",29773,"col","Longtan",120.199997,30.799999,"Huzhou",NA,"PGAP 12055",5,"Wuchiapingian","",259.9,254.17,8319,"gp_mid",115.85,-9.04,"611",257.035,1
"15623",29775,"col","Wulinshan",119.699997,29.799999,"Tongwu",NA,"PGAP 12188",15,"Wuchiapingian","",259.9,254.17,8319,"gp_mid",115.83,-10.13,"611",257.035,1
"15642",29794,"col","Longtan",118.699997,30.799999,"Xuancheng",NA,"PGAP 12010",14,"Wuchiapingian","",259.9,254.17,8304,"gp_mid",114.64,-9.52,"611",257.035,1
"15645",29797,"col","Longtan",119.400002,30.799999,"Guangde",NA,"PGAP 12007",8,"Wuchiapingian","",259.9,254.17,8304,"gp_mid",115.21,-9.3,"611",257.035,1
"15681",29833,"col","Shahu",112.300003,22.200001,"Enping",NA,"PGAP 12204",8,"Wuchiapingian","",259.9,254.17,8313,"gp_mid",112.02,-19.53,"611",257.035,1
"15758",29910,"col","Longtan",110.599998,24.700001,"Pinghi",NA,"PGAP 12022",6,"Wuchiapingian","",259.9,254.17,8317,"gp_mid",109.68,-17.6,"611",257.035,1
"15850",30002,"col","Longtan",105.900002,26.299999,"Ansun",NA,"PGAP 13005",2,"Wuchiapingian","",259.9,254.17,8312,"gp_mid",104.95,-17.12,"611",257.035,1
"16531",30689,"col","",45.900002,60.700001,"Isady",NA,"PGAP 13336",18,"Wuchiapingian","",259.9,254.17,8240,"gp_mid",47.32,40.41,"302",257.035,1
"16791",30949,"col","",40.200001,38.200001,"Hazro",NA,"PGAP 12294",15,"Wuchiapingian","",259.9,254.17,8057,"gp_mid",44.95,-6.43,"503",257.035,1
"18188",32498,"col","Longtan",106.959999,27.049999,"Mazhai, Kaiyang",NA,"",1,"Wuchiapingian","",259.9,254.17,8764,"gp_mid",105.74,-16.17,"611",257.035,1
"18262",32599,"col","Ford",-1.481,54.882999,"Painshaw Hill and Monument",NA,"",5,"Wuchiapingian","",259.9,254.17,30301,"gp_mid",21.06,27.27,"315",257.035,1
"24555",41084,"col","",105.449997,26.24,"Zhichang Section Z12, Liuzhi County",NA,"",2,"Wuchiapingian","",259.9,254.17,27402,"gp_mid",104.55,-17.26,"611",257.035,1
"24556",112126,"col","Longtan",105.339996,26.08,"Langdai Section H37-8, Liuzhi County",NA,"",2,"Wuchiapingian","",259.9,254.17,27402,"gp_mid",104.49,-17.44,"611",257.035,1
"24557",112127,"col","Longtan",105.885002,26.610001,"Damaochang, DaMei1, Zhijin County",NA,"",4,"Wuchiapingian","",259.9,254.17,27402,"gp_mid",104.87,-16.82,"611",257.035,1
"26604",43661,"col","Ingelara",148.270004,-24.823,"Bela Creek, western flank of Serecold Structure",NA,"",1,"Wuchiapingian","",259.9,254.17,11500,"gp_mid",134.84,-70.08,"801",257.035,1
"26606",43662,"col","Ingelara",148.302994,-24.997999,"Southern plunge of Serecold Structure, N 265E of Ingelara",NA,"",2,"Wuchiapingian","",259.9,254.17,11500,"gp_mid",134.84,-70.25,"801",257.035,1
"26607",43669,"col","Ford",-1.452,54.882999,"Hasting Hill, quarry on west side",NA,"",1,"Wuchiapingian","",259.9,254.17,30301,"gp_mid",21.07,27.27,"315",257.035,1
"26608",161490,"col","Ford",-1.437,54.91,"Claxheugh Rock section, blocks from Middle Magnesian Limestone",NA,"",5,"Wuchiapingian","",259.9,254.17,30301,"gp_mid",21.08,27.3,"315",257.035,1
"26613",43673,"col","Ford",-1.437,54.91,"Claxheugh Rock section, Lower Magnesian Limestone",NA,"",2,"Wuchiapingian","",259.9,254.17,30301,"gp_mid",21.08,27.3,"315",257.035,1
"28526",45952,"col","Naujoji Akmené",22.5,55.75,"Borehole Pavandené 91, Naujoji Akmené Suite",NA,"",76,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.08,30.86,"302",257.035,1
"28686",46158,"col","Naujoji Akmené",23.066668,55.716667,"Borehole Lupikai 116, Naujoji Akmené Suite",NA,"",65,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.45,30.93,"302",257.035,1
"28688",46160,"col","Naujoji Akmené",21,55.299999,"Borehole Nida 44, Naujoji Akmené Suite",NA,"",27,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.3,30.17,"302",257.035,1
"28689",46161,"col","Pregolskian",21,55.299999,"Borehole Nida 44, Pregolskian Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.3,30.17,"302",257.035,1
"28696",46168,"col","Zalgiris",21,55.299999,"Borehole Nida 44, Zalgiris Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.3,30.17,"302",257.035,1
"28697",46169,"col","Sasnava",21,55.299999,"Borehole Nida 44, Sasnava (Bituminous) Suite",NA,"",4,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.3,30.17,"302",257.035,1
"28698",46170,"col","Naujoji Akmené",22.799999,54.549999,"Borehole Pajevonys 33, Naujoji Akmené Suite",NA,"",30,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.7,29.77,"302",257.035,1
"28699",46171,"col","Pregolskian",22.799999,54.549999,"Borehole Pajevonys 33, Pregolskian Suite",NA,"",7,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.7,29.77,"302",257.035,1
"28706",46178,"col","Naujoji Akmené",22.200001,55.200001,"Borehole Dauglaukis 12, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.09,30.28,"302",257.035,1
"28707",46179,"col","Naujoji Akmené",23.866667,54.799999,"Borehole Garliava 10, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.29,30.2,"302",257.035,1
"28708",46180,"col","Naujoji Akmené",23.666668,54.366669,"Borehole Simnas 32, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.32,29.75,"302",257.035,1
"28710",46182,"col","Naujoji Akmené",21.233334,55.633331,"Borehole Dumpyay 71, Naujoji Akmené Suite",NA,"",3,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.33,30.53,"302",257.035,1
"28711",46183,"col","Naujoji Akmené",21.75,55.666668,"Borehole Stanchaychyay 25, Naujoji Akmené Suite",NA,"",15,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.65,30.65,"302",257.035,1
"28714",46186,"col","Naujoji Akmené",22.266666,55.25,"Borehole Tauragé 39, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.12,30.34,"302",257.035,1
"28715",46187,"col","Naujoji Akmené",22.533333,55.25,"Borehole Stirbaiciai 37, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.28,30.39,"302",257.035,1
"28716",46188,"col","Naujoji Akmené",22.65,55.25,"Borehole Butaiciai 10, Naujoji Akmené Suite",NA,"",3,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.36,30.41,"302",257.035,1
"28717",46189,"col","Naujoji Akmené",23.25,54.400002,"Borehole Kalvarija 16, Naujoji Akmené Suite",NA,"",10,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.04,29.71,"302",257.035,1
"28718",46190,"col","Naujoji Akmené",23.466667,54.650002,"Borehole Sasnava 30, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.09,29.98,"302",257.035,1
"28719",46191,"col","Naujoji Akmené",23.65,54.766666,"Borehole Papilvis 25, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.16,30.13,"302",257.035,1
"28726",46198,"col","Naujoji Akmené",23.933332,54.816666,"Borehole Rokai 2, Naujoji Akmené Suite",NA,"",23,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.32,30.23,"302",257.035,1
"28727",46199,"col","Naujoji Akmené",23.933332,54.816666,"Borehole Rokai 29, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.32,30.23,"302",257.035,1
"28728",46200,"col","Naujoji Akmené",24.450001,54.783333,"Boreholes Ziezmariai, Naujoji Akmené Suite",NA,"",5,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.66,30.29,"302",257.035,1
"28729",46201,"col","Naujoji Akmené",24.616667,54.483334,"Borehole Onushkis 21, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.88,30.04,"302",257.035,1
"28730",46202,"col","Naujoji Akmené",24.616667,54.483334,"Borehole Onushkis 49, Naujoji Akmené Suite",NA,"",21,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.88,30.04,"302",257.035,1
"28731",46203,"col","Naujoji Akmené",25.616667,54.25,"Borehole Poshkos 75, Naujoji Akmené Suite",NA,"",24,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.6,30,"302",257.035,1
"28732",46204,"col","Naujoji Akmené",22.166668,54.416668,"Borehole Kutuzovo 1, Naujoji Akmené Suite",NA,"",21,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.34,29.53,"302",257.035,1
"28733",46205,"col","Sasnava",24.166668,54.666668,"Borehole Pashvyantupis 199, Sasnava (Bituminous) Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.52,30.13,"302",257.035,1
"28735",46207,"col","Sasnava",22.166668,54.416668,"Borehole Kutuzovo 1, Sasnava (Bituminous) Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.34,29.53,"302",257.035,1
"28926",46399,"col","Naujoji Akmené Suite",23.65,54.766666,"Borehole Papilvis, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.16,30.13,"302",257.035,1
"28927",46400,"col","Sasnava",24.233334,54.766666,"Borehole Kruonis 196, Sasnava (Bituminous) Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.53,30.23,"302",257.035,1
"28928",46401,"col","Naujoji Akmené Suite",25.133333,54.5,"Borehole Pakrempé 67, Naujoji Akmené Suite",NA,"",18,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.2,30.15,"302",257.035,1
"28929",46402,"col","Naujoji Akmené",25.416668,54.450001,"Borehole Vilkiskés 68, Naujoji Akmené Suite",NA,"",5,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.4,30.15,"302",257.035,1
"28930",46403,"col","Naujoji Akmené",25.5,54.366669,"Borehole Akmenyné 71a, Naujoji Akmené Suite",NA,"",9,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.48,30.09,"302",257.035,1
"28931",46404,"col","Naujoji Akmené",22.799999,54.549999,"Borehole Pajevonys 34, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.7,29.77,"302",257.035,1
"28932",46405,"col","Naujoji Akmené",23.933332,54.633331,"Borehole Prienai, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.39,30.05,"302",257.035,1
"28936",46409,"col","Naujoji Akmené",21.083332,55.916668,"Borehole Palanga 318, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.14,30.78,"302",257.035,1
"28937",46410,"col","Naujoji Akmené",22.266666,55.25,"Borehole Tauragé 11, Naujoji Akmené Suite",NA,"",4,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.12,30.34,"302",257.035,1
