"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"19000",33417,"col","Karchowice",19,50,"Brachiopod Coquina assemblage",NA,"",8,"Anisian","",247.2,242,8874,"gp_mid",35.37,30.24,"305",244.6,1
"19001",33418,"col","Karchowice",19,50,"Crumpled/Wavy limestone assemblage",NA,"",4,"Anisian","",247.2,242,8874,"gp_mid",35.37,30.24,"305",244.6,1
"19002",33419,"col","Karchowice",19,50,"Bivalve coquina assemblage",NA,"",10,"Anisian","",247.2,242,8874,"gp_mid",35.37,30.24,"305",244.6,1
"19008",33425,"col","Karchowice",19,50,"Hardground assemblage",NA,"",6,"Anisian","",247.2,242,8874,"gp_mid",35.37,30.24,"305",244.6,1
"19009",33426,"col","Karchowice",19,50,"Crinoid Limestone assemblage",NA,"",4,"Anisian","",247.2,242,8874,"gp_mid",35.37,30.24,"305",244.6,1
"20009",34703,"col","",9.683333,50.299999,"Mottgers, Germany",NA,"Reef 71",21,"Pelsonian","",247.2,242,9198,"gp_mid",28.66,28.95,"305",244.6,1
"20035",34729,"col","Karchowice",18.166668,50.583332,"Kamien Slaski, Opole",NA,"Reef 65",17,"Pelsonian","Illyrian",247.2,242,9207,"gp_mid",34.58,30.64,"305",244.6,1
"20036",34730,"col","Karchowice",18.083332,50.566666,"Tarnow Opolski, Opole",NA,"Reef 65",1,"Pelsonian","Illyrian",247.2,242,9207,"gp_mid",34.53,30.61,"305",244.6,1
"20037",34731,"col","Middle Muschelkalk",19.6,50.299999,"Stare Gliny, Olkusz, Silesia, Poland",NA,"Reef 525",5,"Illyrian","",247.2,242,9207,"gp_mid",35.69,30.64,"305",244.6,1
"20038",34732,"col","Middle Muschelkalk",19.5,50.083332,"Pogorzyce, Silesia, Poland",NA,"Reef 209",1,"Illyrian","",247.2,242,9207,"gp_mid",35.7,30.41,"305",244.6,1
"22746",38545,"col","Muschelkalk",9.033333,51.633331,"Willebadessen, Astarte-Bank",NA,"",66,"Anisian","",247.2,242,10331,"gp_mid",27.85,30.15,"315",244.6,1
"23168",39214,"col","",11.65,47.683334,"Fockenstein, between Lenggries and Tegernsee",NA,"",1,"Anisian","",247.2,242,32096,"gp_mid",30.78,26.71,"305",244.6,1
"24986",41676,"col","",69.5,34.116669,"Altimour, Paktia Province, Locality 234",NA,"",5,"Anisian","",247.2,242,11162,"gp_mid",70.45,-22.14,"506",244.6,1
"24987",41677,"col","",69.26667,33.866669,"Altimour, Paktia Province, Locality 271",NA,"",1,"Anisian","",247.2,242,11162,"gp_mid",70.11,-22.19,"506",244.6,1
"25012",41702,"col","Gevanim",34.816666,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29193 (= collection 17)",NA,"",4,"Anisian","",247.2,242,11163,"gp_mid",39.06,-3.36,"508",244.6,1
