"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"1701",3717,"col","",6.83,52.15,"Buurse",NA,"",16,"Bartonian","",41.3,38,233,"gp_mid",12.1,45.26,"315",39.65,"bartonian",495,1.4699,50.3572,14,1
"1702",3718,"col","",6.8,52.2,"Boekelo",NA,"",23,"Bartonian","",41.3,38,233,"gp_mid",12.08,45.31,"315",39.65,"bartonian",496,1.4699,50.3572,14,1
"1703",3719,"col","",2.2,49.02,"Ezanville, Beauchamp (France)",NA,"",3,"Bartonian","",41.3,38,234,"gp_mid",7.75,42.32,"305",39.65,"bartonian",497,-1.7355,47.6486,14,1
"1704",3720,"col","",2.2,49.02,"Beauchamp, France",NA,"",8,"Bartonian","",41.3,38,234,"gp_mid",7.75,42.32,"305",39.65,"bartonian",497,-1.7355,47.6486,14,1
"1705",3721,"col","",2.17,49.07,"Guepelle, France",NA,"",12,"Bartonian","",41.3,38,234,"gp_mid",7.72,42.37,"305",39.65,"bartonian",498,-1.7355,47.6486,14,1
"2506",5311,"col","Gosport Sand",-87.9,31.52,"Little Stave Creek 1 (Gosport Sand, AL)",NA,"",53,"Bartonian","",41.3,38,315,"gp_mid",-70.67,35.18,"109",39.65,"bartonian",917,-77.1208,31.453,14,1
"2507",5312,"col","Gosport Sand",-87.9,31.52,"Little Stave Creek 2 (Gosport Sand, AL)",NA,"",53,"Bartonian","",41.3,38,315,"gp_mid",-70.67,35.18,"109",39.65,"bartonian",917,-77.1208,31.453,14,1
"2508",5316,"col","Gosport Sand",-87.9,31.52,"Little Stave Creek 3 (Gosport Sand, AL)",NA,"",21,"Bartonian","",41.3,38,315,"gp_mid",-70.67,35.18,"109",39.65,"bartonian",917,-77.1208,31.453,14,1
"2509",5318,"col","Gosport Sand",-87.9,31.52,"LIttle Stave Creek 4 (Gosport Sand, AL)",NA,"",58,"Bartonian","",41.3,38,315,"gp_mid",-70.67,35.18,"109",39.65,"bartonian",917,-77.1208,31.453,14,1
"2510",5320,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 1 (Gosport Sand, AL)",NA,"",59,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2511",5321,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 2 (Gosport Sand, AL)",NA,"",61,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2512",5322,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 3 (Gosport Sand, AL)",NA,"",69,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2513",5330,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 4 (Gosport Sand, AL)",NA,"",51,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2514",5332,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 5 (Gosport Sand, AL)",NA,"",42,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2515",5334,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 6 (Gosport Sand, AL)",NA,"",35,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2516",5335,"col","Gosport Sand",-87.52,31.54,"Claiborne Bluff 7 (Gosport Sand, AL)",NA,"",28,"Bartonian","",41.3,38,315,"gp_mid",-70.27,35.14,"109",39.65,"bartonian",918,-77.1208,31.453,14,1
"2523",5354,"col","Santee Limestone",-79.69,33.33,"GE-1 (Santee Limestone, South Carolina)",NA,"",67,"Bartonian","",41.3,38,318,"gp_mid",-61.9,35.53,"109",39.65,"bartonian",925,-69.7624,30.8565,14,1
"2524",5353,"col","Santee Limestone",-80.15,33.38,"BE-8 (Santee Limestone, South Carolina)",NA,"",29,"Bartonian","",41.3,38,318,"gp_mid",-62.34,35.66,"109",39.65,"bartonian",926,-69.7624,30.8565,14,1
"2525",5345,"col","Santee Limestone",-80.1,33.41,"BE-1 (Santee Limestone, South Carolina)",NA,"",29,"Bartonian","",41.3,38,318,"gp_mid",-62.29,35.69,"109",39.65,"bartonian",927,-69.7624,30.8565,14,1
"2526",5344,"col","Santee Limestone",-80.15,33.33,"BE-0 (Upper Santee Limestone, South Carolina)",NA,"",60,"Bartonian","",41.3,38,318,"gp_mid",-62.35,35.61,"109",39.65,"bartonian",928,-69.7624,30.8565,14,1
"2528",5343,"col","Santee Limestone",-80.49,33.51,"OR-9 (Santee Limestone, South Carolina)",NA,"",15,"Bartonian","",41.3,38,318,"gp_mid",-62.65,35.85,"109",39.65,"bartonian",930,-69.7624,30.8565,14,1
"2570",5462,"col","Santee Limestone",-79.69,33.33,"Georgetown (Santee LS, S. Carolina)",NA,"",9,"Bartonian","",41.3,38,319,"gp_mid",-61.9,35.53,"109",39.65,"bartonian",925,-69.7624,30.8565,14,1
"2572",5464,"col","Santee Limestone",-80.45,33.25,"USGS 18078 (Santee LS, S. Carolina)",NA,"",1,"Bartonian","",41.3,38,319,"gp_mid",-62.68,35.59,"109",39.65,"bartonian",965,-69.7624,30.8565,14,1
"2573",5465,"col","Santee Limestone",-80.15,33.38,"Lake Marion (Santee LS, S. Carolina)",NA,"",2,"Bartonian","",41.3,38,319,"gp_mid",-62.34,35.66,"109",39.65,"bartonian",926,-69.7624,30.8565,14,1
"2574",5466,"col","Santee Limestone",-80.15,33.38,"USGS 25867 (Santee Limestone, S. Carolina)",NA,"",1,"Bartonian","",41.3,38,319,"gp_mid",-62.34,35.66,"109",39.65,"bartonian",926,-69.7624,30.8565,14,1
