"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"10443",40840,"col","Antimonio",-112.583336,30.766666,"USNM806s, Cerros de los Monos, El Antimonio, Sonora",NA,"",5,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.22,"104",1,266.95,"wordian",1
"10444",40842,"col","Antimonio",-112.566666,30.766666,"USNM806t, Cerros de los Monos, El Antimonio, Sonora",NA,"",2,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian",1
"10445",40843,"col","Antimonio",-112.566666,30.775,"USNM806u, Cerros de los Monos, El Antimonio, Sonora",NA,"",1,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10446",40844,"col","Antimonio",-112.599998,30.766666,"USNM806v, Cerros de los Monos, El Antimonio, Sonora",NA,"",4,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10447",40846,"col","Antimonio",-112.599998,30.766666,"USNM806w, Cerros de los Monos, El Antimonio, Sonora",NA,"",7,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10448",40848,"col","Antimonio",-112.566666,30.775,"USNM806x, Cerros de los Monos, El Antimonio, Sonora",NA,"",4,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10449",40849,"col","Antimonio",-112.599998,30.766666,"USNM806y, Cerros de los Monos, El Antimonio, Sonora",NA,"",3,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10450",40850,"col","Antimonio",-112.566666,30.775,"USNM806z, Cerros de los Monos, El Antimonio, Sonora",NA,"",6,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10500",84110,"col","",36.049999,38.080002,"Naltas, Sainbeyli Area",NA,"",7,"Wordian","",268.8,265.1,28161,"gp_mid",40.24,-14.16,"504",1,266.95,"wordian",1
"10880",41654,"col","Oum el Afia Shale",10.175,33.417999,"Locality B1, Kef en Nsouri, Djebel Tebaga",NA,"",18,"Wordian","",268.8,265.1,11153,"gp_mid",20,-4.21,"715",1,266.95,"wordian",1
"10881",41655,"col","Oum el Afia Shale",10.175,33.417999,"Locality B2, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",1,"Wordian","",268.8,265.1,11153,"gp_mid",20,-4.21,"715",1,266.95,"wordian",1
"10884",41657,"col","Djebel Tebaga",10.174,33.415001,"Locality B11-19, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",1,"Wordian","",268.8,265.1,11153,"gp_mid",20,-4.21,"715",1,266.95,"wordian",1
"10885",41658,"col","Djebel Tebaga",10.173,33.412998,"Locality B21, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",9,"Wordian","",268.8,265.1,11153,"gp_mid",20,-4.21,"715",1,266.95,"wordian",1
"10891",42070,"col","Oum el Afia Shale (?)",10.25,33.416668,"Newell 1973 spot locality 1, Baten beni Zid, Djebel Tebaga",NA,"",2,"Wordian","",268.8,265.1,11156,"gp_mid",20.05,-4.25,"715",1,266.95,"wordian",1
"10959",120461,"col","",-103.224998,76.449997,"GSC 25986, Cameron Island",NA,"",1,"Wordian","",268.8,265.1,27358,"gp_mid",1.62,43.25,"106",1,266.95,"wordian",1
"10984",120462,"col","",-103.224998,76.449997,"GSC 25993, Cameron Island",NA,"",1,"Wordian","",268.8,265.1,27358,"gp_mid",1.62,43.25,"106",1,266.95,"wordian",1
