"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"127043",183595,"col","",-69.74,-27.41,"Quebrada Noria (sample 670220/3)",NA,"",2,"Late Pliensbachian","",189.6,183,59554,"gp_mid",-18.08,-30.03,"291",186.3,"pliensbachian",33624,-23.5627,-32.2271,40,1
"127044",183596,"col","",-69.64,-27.5,"Quebrada Llareta (sample 670217/3a)",NA,"",1,"Late Pliensbachian","",189.6,183,59554,"gp_mid",-17.95,-30.09,"291",186.3,"pliensbachian",33625,-23.5627,-32.2271,40,1
"127049",183601,"col","",-69.64,-27.5,"Quebrada Llareta (sample 670217/1)",NA,"",1,"Late Pliensbachian","",189.6,183,59554,"gp_mid",-17.95,-30.09,"291",186.3,"pliensbachian",33625,-23.5627,-32.2271,40,1
"127050",183602,"col","",-69.97,-28.25,"Cerro Salto del Toro, bed 4a, Río Manflas (sample 670107/4a)",NA,"",1,"Late Pliensbachian","",189.6,183,59554,"gp_mid",-17.99,-30.89,"291",186.3,"pliensbachian",33423,-23.5627,-32.2271,40,1
"127051",183603,"col","",-70.25,-28.76,"Quebrada Chanchoquin, between Q. Chanchoquin and Acevedo (sample 671009/3)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-18.06,-31.46,"291",186.3,"pliensbachian",33412,-22.0802,-34.5503,40,1
"127052",183604,"col","",-70.23,-28.74,"Quebrada Chanchoquin, Sierra del Corral (sample 671011/5)",NA,"",1,"Spinatum","",189.6,183,59554,"gp_mid",-18.05,-31.44,"291",186.3,"pliensbachian",33627,-23.5627,-32.2271,40,1
"127053",183605,"col","",-70.23,-28.74,"Quebrada Chanchoquin, Sierra del Corral (sample 671011/6)",NA,"",2,"Margaritatus","",189.6,183,59554,"gp_mid",-18.05,-31.44,"291",186.3,"pliensbachian",33627,-23.5627,-32.2271,40,1
"127054",183607,"col","",-68.82,-22.56,"Moctezuma (sample 860311/11)",NA,"",1,"Spinatum","",189.6,183,59554,"gp_mid",-18.72,-26.28,"201",186.3,"pliensbachian",33628,-21.824,-26.262,40,1
"127055",183608,"col","",-68.82,-22.56,"Moctezuma (sample 860311/12)",NA,"",1,"Spinatum","",189.6,183,59554,"gp_mid",-18.72,-26.28,"201",186.3,"pliensbachian",33628,-21.824,-26.262,40,1
"127057",183610,"col","",-70.25,-28.76,"Quebrada Chanchoquin (sample 671008/8)",NA,"",1,"Spinatum","",189.6,183,59554,"gp_mid",-18.06,-31.46,"291",186.3,"pliensbachian",33412,-22.0802,-34.5503,40,1
"127061",183614,"col","",-70.38,-39.28,"Arroyo Maihuen (sample 711125/3)",NA,"",3,"Spinatum","",189.6,183,59554,"gp_mid",-13.66,-41.37,"291",186.3,"pliensbachian",33405,-16.8424,-43.6934,40,1
"127062",183615,"col","",-68.82,-22.56,"Moctezuma (sample 860311/8)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-18.72,-26.28,"201",186.3,"pliensbachian",33628,-21.824,-26.262,40,1
"127066",183619,"col","",-69.14,-22.62,"Cerritos Bayos, Loma Larga Sur (L10 Osthang, Arieticeras-Bank)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-19.01,-26.42,"201",186.3,"pliensbachian",33409,-21.824,-26.262,40,1
