"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"35941",86778,"col","Kievskaya",36.033333,48.200001,"Vasil'kovka",NA,"",2,"Late Eocene","",37.2,33.9,29186,"gp_mid",37.31,41.65,"302",1,35.55,"priabonian",1
"36436",87473,"col","Promina",16.15,43.849998,"Drnis area",NA,"",12,"Late Eocene","",37.2,33.9,29455,"gp_mid",20.18,34.47,"307",1,35.55,"priabonian",1
"37055",88288,"col","",-22.049999,70.150002,"Cyrena bed a, Kap Brewster",NA,"",4,"Late Eocene","",37.2,33.9,29643,"gp_mid",2.1,63.21,"102",1,35.55,"priabonian",1
"37056",88289,"col","",-22.049999,70.150002,"Cyrena bed b, Kap Brewster",NA,"",7,"Late Eocene","",37.2,33.9,29643,"gp_mid",2.1,63.21,"102",1,35.55,"priabonian",1
"37057",88290,"col","",-22.049999,70.150002,"Cyrena bed c, Kap Brewster",NA,"",1,"Late Eocene","",37.2,33.9,29643,"gp_mid",2.1,63.21,"102",1,35.55,"priabonian",1
"37058",88291,"col","",-22.049999,70.150002,"Cyrena bed d, Kap Brewster",NA,"",4,"Late Eocene","",37.2,33.9,29643,"gp_mid",2.1,63.21,"102",1,35.55,"priabonian",1
"37059",88292,"col","",-22.049999,70.150002,"Cyrena bed e, Kap Brewster",NA,"",4,"Late Eocene","",37.2,33.9,29643,"gp_mid",2.1,63.21,"102",1,35.55,"priabonian",1
"37612",89007,"col","",171.21666,-42.383331,"S44/736, GS 4872 Port Elizabeth Beach",NA,"",5,"Kaiatan","",37.2,36,29819,"gp_mid",-169.87,-49.85,"806",1,36.6,"priabonian",1
"37634",89038,"col","Kaiata Siltstone",171.25,-42.383331,"S44 Dunollie",NA,"",1,"Kaiatan","",37.2,36,29819,"gp_mid",-169.84,-49.84,"806",1,36.6,"priabonian",1
"37687",89134,"col","",171.350006,-42.033333,"GS 28, S37 Fox River",NA,"",1,"Kaiatan","",37.2,36,29819,"gp_mid",-170.01,-49.5,"806",1,36.6,"priabonian",1
"37755",89238,"col","Ocala Limestone",-83.253609,30.254168,"Mill Creek Quarry [Ocala Limestone]",NA,"Loc. UF ZL004",1,"Late Eocene","",37.2,33.9,29921,"gp_mid",-68.22,33.17,"109",1,35.55,"priabonian",1
"37756",89239,"col","Ocala Limestone",-83.253609,30.254168,"Suwannee American Cement Quarry [Ocala Limestone]",NA,"Loc. UF SU014",1,"Late Eocene","",37.2,33.9,29921,"gp_mid",-68.22,33.17,"109",1,35.55,"priabonian",1
"38255",90479,"col","McBean",-81.933334,33.25,"McBean Creek",NA,"Locality 1",18,"Late Eocene","",37.2,33.9,30439,"gp_mid",-66.21,35.91,"109",1,35.55,"priabonian",1
"38256",90480,"col","McBean",-81.816666,33.233334,"Shell Bluff",NA,"Locality 2",12,"Late Eocene","",37.2,33.9,30439,"gp_mid",-66.1,35.88,"109",1,35.55,"priabonian",1
"38598",91104,"col","Ocala Limestone",-83.637222,32.413612,"PRI 1167",NA,"",5,"Priabonian","",38,33.9,11845,"gp_mid",-68.13,35.36,"109",1,35.95,"priabonian",1
"38599",91105,"col","Ocala Limestone",-83.637222,32.413612,"PRI 1168",NA,"",5,"Priabonian","",38,33.9,11845,"gp_mid",-68.13,35.36,"109",1,35.95,"priabonian",1
"38608",91113,"col","Barnwell",-81.897781,33.148056,"PRI 2215",NA,"",2,"Late Eocene","",37.2,33.9,11845,"gp_mid",-66.2,35.81,"109",1,35.55,"priabonian",1
"38635",91140,"col","Ocala Limestone",-82.567497,29.680279,"Dickerson Limerock mines, Haile complex, Alachua County",NA,"",1,"Late Eocene","",37.2,33.9,30435,"gp_mid",-67.64,32.5,"109",1,35.55,"priabonian",1
"39179",91875,"col","Ocala Limestone",-82.409164,29.605,"M 38",NA,"",2,"Priabonian","",38,33.9,11845,"gp_mid",-67.5,32.4,"109",1,35.95,"priabonian",1
"39338",92044,"col","Inglis Limestone",-82.64389,29.445,"M 319 - Bronson [Inglis Limestone]",NA,"",2,"Priabonian","",38,33.9,11845,"gp_mid",-67.77,32.28,"109",1,35.95,"priabonian",1
