"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.12,0,1
2,75,60,67.5,"N",1.38999,0,3.52499999999999
3,60,45,52.5,"N",34.59137,32.048875,37.124175
4,45,30,37.5,"N",36.87894,34.9822,38.510975
5,30,15,22.5,"N",8.1741,3,14.06265
6,15,0,7.5,"N",0.41,0,1.52499999999999
7,0,-15,-7.5,"S",0.07,0,1
8,-15,-30,-22.5,"S",0.05,0,1
9,-30,-45,-37.5,"S",NA,NA,NA
10,-45,-60,-52.5,"S",0.9,0,3
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.01,0,0
