"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.23,0,1.52499999999999
2,75,60,67.5,"N",0.24,0,1
3,60,45,52.5,"N",6.15693,2,10.867175
4,45,30,37.5,"N",31.52503,28.336275,34.077025
5,30,15,22.5,"N",11.19642,6.376425,15.4834
6,15,0,7.5,"N",0.59,0,2.52499999999999
7,0,-15,-7.5,"S",0.78,0,3
8,-15,-30,-22.5,"S",5.93134,1,10.785425
9,-30,-45,-37.5,"S",16.9089,10.86515,21.87525
10,-45,-60,-52.5,"S",3.02968,0.475,6.997
11,-60,-75,-67.5,"S",3.25817,1,6.99305
12,-75,-90,-82.5,"S",0.04,0,0.524999999999991
