"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",0.28,0,2
3,60,45,52.5,"N",23.62254,17.73745,28.940925
4,45,30,37.5,"N",29.90115,25.76965,32.642775
5,30,15,22.5,"N",7.83805,3,13.5932
6,15,0,7.5,"N",0.06,0,1
7,0,-15,-7.5,"S",0.03,0,0.524999999999991
8,-15,-30,-22.5,"S",1.51997,0,4
9,-30,-45,-37.5,"S",3.43939,0.475,6.99505
10,-45,-60,-52.5,"S",2.03999,0,4.52499999999999
11,-60,-75,-67.5,"S",0.07,0,1
12,-75,-90,-82.5,"S",0.08,0,1
