"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",272.75,247.475,303.1
2,75,60,67.5,"N",202.95,181.475,229.05
3,60,45,52.5,"N",155.06,134.475,175.575
4,45,30,37.5,"N",219.28,198,242
5,30,15,22.5,"N",172.02,155,192.05
6,15,0,7.5,"N",83.44,68,99
7,0,-15,-7.5,"S",63.11,48,79
8,-15,-30,-22.5,"S",68.95,53.375,85.525
9,-30,-45,-37.5,"S",71.08,59,85
10,-45,-60,-52.5,"S",28.18,18,37.525
11,-60,-75,-67.5,"S",37.36,28,50.525
12,-75,-90,-82.5,"S",148.91,126.95,167
