"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",224.35,204.475,251.05
2,75,60,67.5,"N",256.21,231,280.05
3,60,45,52.5,"N",215.92,194,248.525
4,45,30,37.5,"N",209.09,186.475,231
5,30,15,22.5,"N",157.22,134.475,181.1
6,15,0,7.5,"N",119.39,103.425,138.525
7,0,-15,-7.5,"S",62.77,46,78
8,-15,-30,-22.5,"S",74.26,60.475,87
9,-30,-45,-37.5,"S",105.43,88,124.575
10,-45,-60,-52.5,"S",90.59,71.475,110
11,-60,-75,-67.5,"S",129.37,106.95,150
12,-75,-90,-82.5,"S",64.3,48.475,78.05
