"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",188.36,163.475,212.525
2,75,60,67.5,"N",197.87,174.95,221.525
3,60,45,52.5,"N",214.16,181.375,239.575
4,45,30,37.5,"N",198.05,174.475,224
5,30,15,22.5,"N",152.39,129.475,178.525
6,15,0,7.5,"N",143.71,124,172.2
7,0,-15,-7.5,"S",158.49,138.475,180.625
8,-15,-30,-22.5,"S",170.97,151.95,193.625
9,-30,-45,-37.5,"S",144.75,122,169.525
10,-45,-60,-52.5,"S",66.75,51.475,83.05
11,-60,-75,-67.5,"S",73.25,59.95,88.575
12,-75,-90,-82.5,"S",125.48,108,145.05
