"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",376.49,344.95,411.525
2,75,60,67.5,"N",262.48,238.9,284.575
3,60,45,52.5,"N",169.96,142.95,194.525
4,45,30,37.5,"N",155.04,131.475,175.575
5,30,15,22.5,"N",164.34,139.9,183
6,15,0,7.5,"N",106.05,83.9,127.525
7,0,-15,-7.5,"S",53.49,37.9,67.05
8,-15,-30,-22.5,"S",53.38,41.95,65
9,-30,-45,-37.5,"S",90.4,72.375,106.525
10,-45,-60,-52.5,"S",157.58,137,180.05
11,-60,-75,-67.5,"S",148.21,126,173
12,-75,-90,-82.5,"S",49.63,37.475,64.525
