"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",209.25,187.475,235.725
2,75,60,67.5,"N",208.62,184.95,230
3,60,45,52.5,"N",182.14,154.95,207.625
4,45,30,37.5,"N",206.27,183.425,230.05
5,30,15,22.5,"N",190.96,170.475,213.575
6,15,0,7.5,"N",149.2,124.475,169.05
7,0,-15,-7.5,"S",114.04,93.95,132.575
8,-15,-30,-22.5,"S",93.61,76.425,112.525
9,-30,-45,-37.5,"S",117.25,99,137.2
10,-45,-60,-52.5,"S",140.64,118.95,160.525
11,-60,-75,-67.5,"S",161.12,139.475,182
12,-75,-90,-82.5,"S",86.15,72,104.05
