"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",166.19,146.475,189.05
2,75,60,67.5,"N",234.19,208.475,265.1
3,60,45,52.5,"N",251.8,226.95,283.05
4,45,30,37.5,"N",249.16,224.95,276.15
5,30,15,22.5,"N",231.53,204,257.525
6,15,0,7.5,"N",179.64,155.475,206.05
7,0,-15,-7.5,"S",152.39,123.475,172
8,-15,-30,-22.5,"S",141.76,126,162.575
9,-30,-45,-37.5,"S",76.82,58.95,94.525
10,-45,-60,-52.5,"S",48.57,35.375,60.525
11,-60,-75,-67.5,"S",79.65,63,97.525
12,-75,-90,-82.5,"S",64.68,48.475,79
