"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",143.99,123.475,165.05
2,75,60,67.5,"N",171.49,149.9,194
3,60,45,52.5,"N",227.95,202.475,251.525
4,45,30,37.5,"N",235.43,214,258
5,30,15,22.5,"N",150.59,124.375,174.05
6,15,0,7.5,"N",124.4,104.95,143.1
7,0,-15,-7.5,"S",155.4,128.9,180.1
8,-15,-30,-22.5,"S",195.98,172,223.05
9,-30,-45,-37.5,"S",191.8,166.425,213
10,-45,-60,-52.5,"S",110.59,89,130.05
11,-60,-75,-67.5,"S",107.98,90.475,125.525
12,-75,-90,-82.5,"S",86.55,73,102.575
