"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",183.55,161.375,205.525
2,75,60,67.5,"N",148.72,129,175.1
3,60,45,52.5,"N",220.46,198.325,240
4,45,30,37.5,"N",196.31,172.95,215.525
5,30,15,22.5,"N",111.2,90,129
6,15,0,7.5,"N",104.4,86.375,122
7,0,-15,-7.5,"S",138.14,119.425,163.525
8,-15,-30,-22.5,"S",166.63,142,189.05
9,-30,-45,-37.5,"S",160.26,139.375,183
10,-45,-60,-52.5,"S",52.26,39.475,70
11,-60,-75,-67.5,"S",87.57,72,105
12,-75,-90,-82.5,"S",88.01,71.475,106
