"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",280.5,254.475,308.05
2,75,60,67.5,"N",282.14,250.95,309
3,60,45,52.5,"N",225.15,202.475,253.1
4,45,30,37.5,"N",203.31,180.95,227.575
5,30,15,22.5,"N",154.68,133.375,176.525
6,15,0,7.5,"N",106.9,88,126.05
7,0,-15,-7.5,"S",73.68,60.475,92.1
8,-15,-30,-22.5,"S",84.75,67.475,103.525
9,-30,-45,-37.5,"S",97.06,82,117.525
10,-45,-60,-52.5,"S",91.58,70.475,113.05
11,-60,-75,-67.5,"S",139.19,118.95,162.05
12,-75,-90,-82.5,"S",101.9,87,119.525
