"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",252.63,228.425,279.1
2,75,60,67.5,"N",189.28,165.375,211.625
3,60,45,52.5,"N",147.33,124.475,166.05
4,45,30,37.5,"N",180.47,158,212.05
5,30,15,22.5,"N",195.4,172.475,223.525
6,15,0,7.5,"N",100.26,85,127.05
7,0,-15,-7.5,"S",32.84,22.475,46
8,-15,-30,-22.5,"S",56.46,43.475,68
9,-30,-45,-37.5,"S",94.16,75.475,113.525
10,-45,-60,-52.5,"S",172.97,152.95,198
11,-60,-75,-67.5,"S",168.51,145.95,188.525
12,-75,-90,-82.5,"S",25.78,17.475,34
