"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",162.42,141.475,183.525
2,75,60,67.5,"N",189.79,167.425,212.575
3,60,45,52.5,"N",155.41,136.475,171.525
4,45,30,37.5,"N",150.42,133.475,172.05
5,30,15,22.5,"N",160.2,136,184.05
6,15,0,7.5,"N",167.44,147.475,188.525
7,0,-15,-7.5,"S",139.11,116,157.05
8,-15,-30,-22.5,"S",100.26,81.425,119.05
9,-30,-45,-37.5,"S",85.99,73,100.05
10,-45,-60,-52.5,"S",46.86,36,57
11,-60,-75,-67.5,"S",156.8,134.475,179.525
12,-75,-90,-82.5,"S",133.59,116,155
