"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",120.95,98.95,142.625
2,75,60,67.5,"N",86.08,67.475,105.05
3,60,45,52.5,"N",108.65,91.425,126.575
4,45,30,37.5,"N",145.59,129.475,167
5,30,15,22.5,"N",83.13,68.475,98.525
6,15,0,7.5,"N",73.87,60,89.05
7,0,-15,-7.5,"S",69.12,57,84.05
8,-15,-30,-22.5,"S",126.25,106.95,146.525
9,-30,-45,-37.5,"S",157.86,138,176
10,-45,-60,-52.5,"S",153.71,133,177
11,-60,-75,-67.5,"S",178.2,157.375,199
12,-75,-90,-82.5,"S",266.38,241.9,293.525
