"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",101.33,83.475,121
2,75,60,67.5,"N",87.53,70.475,107.05
3,60,45,52.5,"N",118.09,99.475,137.525
4,45,30,37.5,"N",160.09,142,183.525
5,30,15,22.5,"N",92.27,74,107
6,15,0,7.5,"N",73.3,58.95,90
7,0,-15,-7.5,"S",89.93,71.475,106.525
8,-15,-30,-22.5,"S",135.53,113.475,156.525
9,-30,-45,-37.5,"S",178.36,156,203
10,-45,-60,-52.5,"S",158.47,137,183.575
11,-60,-75,-67.5,"S",181.64,157.9,205
12,-75,-90,-82.5,"S",224.07,197.425,248
