"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",228.38,207,254.05
2,75,60,67.5,"N",239.75,217.475,269.1
3,60,45,52.5,"N",207.52,182.425,232.05
4,45,30,37.5,"N",228.48,205.85,253.05
5,30,15,22.5,"N",190.06,166.475,210.525
6,15,0,7.5,"N",105.47,88.425,124
7,0,-15,-7.5,"S",51.41,36.425,67.575
8,-15,-30,-22.5,"S",85.19,64.95,105.525
9,-30,-45,-37.5,"S",91.12,74.95,108.05
10,-45,-60,-52.5,"S",55.38,43.475,71
11,-60,-75,-67.5,"S",30.33,20.425,41.05
12,-75,-90,-82.5,"S",114.28,91.95,137.05
