"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",207.13,186,232
2,75,60,67.5,"N",262.37,233.95,285.05
3,60,45,52.5,"N",201.44,175.95,226.525
4,45,30,37.5,"N",164.64,140.9,183
5,30,15,22.5,"N",163.2,143.475,185.05
6,15,0,7.5,"N",167.46,145.325,191.05
7,0,-15,-7.5,"S",140.51,121.475,162.525
8,-15,-30,-22.5,"S",122.32,103,142.525
9,-30,-45,-37.5,"S",116.61,98.475,137.525
10,-45,-60,-52.5,"S",95.84,78.475,116.525
11,-60,-75,-67.5,"S",152.37,130.95,172.525
12,-75,-90,-82.5,"S",107.79,90.475,125.525
