"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",166.88,146,193.625
2,75,60,67.5,"N",183.52,160.95,206.05
3,60,45,52.5,"N",191.24,168.475,217.05
4,45,30,37.5,"N",177.31,155,199.625
5,30,15,22.5,"N",152.84,132.475,175.525
6,15,0,7.5,"N",142.06,115.475,163.05
7,0,-15,-7.5,"S",101.61,83.425,117.525
8,-15,-30,-22.5,"S",124.67,105.475,143.525
9,-30,-45,-37.5,"S",126.35,108.475,146.1
10,-45,-60,-52.5,"S",104.78,87.475,119
11,-60,-75,-67.5,"S",138.91,120.425,156.525
12,-75,-90,-82.5,"S",68.85,54,81.525
