"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",278.47,254.95,301.05
2,75,60,67.5,"N",278.56,251.475,307.525
3,60,45,52.5,"N",229.27,203.425,256.1
4,45,30,37.5,"N",206.88,183.475,228
5,30,15,22.5,"N",161.51,140.475,188.525
6,15,0,7.5,"N",114.91,96.475,134.525
7,0,-15,-7.5,"S",71.93,57.475,88.525
8,-15,-30,-22.5,"S",81.4,63.475,97
9,-30,-45,-37.5,"S",103.32,85,125.675
10,-45,-60,-52.5,"S",96.37,81.475,116
11,-60,-75,-67.5,"S",130.92,114,148.1
12,-75,-90,-82.5,"S",87.77,69.9,105
