"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",289.54,267.9,312
2,75,60,67.5,"N",310.03,280.475,335.05
3,60,45,52.5,"N",199.64,175.325,225.525
4,45,30,37.5,"N",158.02,139.475,180.525
5,30,15,22.5,"N",159.28,138.475,178
6,15,0,7.5,"N",118.59,101.9,139.1
7,0,-15,-7.5,"S",72.42,58,87.05
8,-15,-30,-22.5,"S",77.69,63.475,95.05
9,-30,-45,-37.5,"S",122.44,106,141.525
10,-45,-60,-52.5,"S",141.49,125.475,161.525
11,-60,-75,-67.5,"S",121.42,104,143
12,-75,-90,-82.5,"S",73.29,58,91.525
