"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",241.31,212.95,264.525
2,75,60,67.5,"N",240.35,220,261.525
3,60,45,52.5,"N",198.93,177,223.1
4,45,30,37.5,"N",230.8,206.425,256
5,30,15,22.5,"N",206,185.475,228.1
6,15,0,7.5,"N",121.64,102.425,145.525
7,0,-15,-7.5,"S",72.14,56.95,89.625
8,-15,-30,-22.5,"S",93.26,76.475,109.575
9,-30,-45,-37.5,"S",98.57,79.95,116
10,-45,-60,-52.5,"S",61.06,48.475,76.575
11,-60,-75,-67.5,"S",63.87,48.95,78.525
12,-75,-90,-82.5,"S",153.64,134.425,171.575
