"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",300.55,272.425,326.05
2,75,60,67.5,"N",264.51,241.475,292
3,60,45,52.5,"N",209.54,188.475,233.525
4,45,30,37.5,"N",199.28,178,222.525
5,30,15,22.5,"N",167.95,145.475,188.525
6,15,0,7.5,"N",114.42,96.475,131.575
7,0,-15,-7.5,"S",76.51,61.475,90.05
8,-15,-30,-22.5,"S",70.12,56,88
9,-30,-45,-37.5,"S",107.76,88,124.525
10,-45,-60,-52.5,"S",143.85,121.95,161
11,-60,-75,-67.5,"S",128.31,110.9,147.1
12,-75,-90,-82.5,"S",44.12,34.475,54.525
