"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",182.06,158.475,204.15
2,75,60,67.5,"N",227.4,198.8,250.05
3,60,45,52.5,"N",235.5,210.475,259.575
4,45,30,37.5,"N",235.2,210,265.525
5,30,15,22.5,"N",213.12,186.425,237.05
6,15,0,7.5,"N",150.07,133.475,172.525
7,0,-15,-7.5,"S",88.38,71.95,104.525
8,-15,-30,-22.5,"S",91.69,76,108.1
9,-30,-45,-37.5,"S",115.1,96.475,133.525
10,-45,-60,-52.5,"S",136.03,117.475,154.525
11,-60,-75,-67.5,"S",149.27,127.85,168.575
12,-75,-90,-82.5,"S",85.79,69.475,100.525
