"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",278.66,253.425,302
2,75,60,67.5,"N",151.8,130.9,173.05
3,60,45,52.5,"N",117.06,99,135.05
4,45,30,37.5,"N",176.73,152.425,201
5,30,15,22.5,"N",174.08,148.475,200.25
6,15,0,7.5,"N",91.85,74.475,108.05
7,0,-15,-7.5,"S",48.02,35,59
8,-15,-30,-22.5,"S",73.27,58.475,87.05
9,-30,-45,-37.5,"S",90.85,72.425,109.525
10,-45,-60,-52.5,"S",179.64,155.425,201.05
11,-60,-75,-67.5,"S",175.97,146.475,196.525
12,-75,-90,-82.5,"S",26.35,16,36.525
