"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",346.15,319.475,374.05
2,75,60,67.5,"N",280.77,254.95,308.525
3,60,45,52.5,"N",153.38,130.475,176.525
4,45,30,37.5,"N",122.23,103.475,145.575
5,30,15,22.5,"N",164.44,144.475,188.525
6,15,0,7.5,"N",96.36,78,111.525
7,0,-15,-7.5,"S",38.1,26.475,47.525
8,-15,-30,-22.5,"S",57.08,44,72.05
9,-30,-45,-37.5,"S",79.11,61.95,95.05
10,-45,-60,-52.5,"S",148.4,126.95,171
11,-60,-75,-67.5,"S",121.94,102.475,143.525
12,-75,-90,-82.5,"S",12.59,6,19.525
